"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"MRPS10"	"MRPS10"	-0.836811777887864	0.960340690732759	-0.340524928957707	0.0563383922685371	-0.124571292916118	"S01"	0.960340690732759	"IS02"
"MRPL50"	"MRPL50"	-0.651597322321075	0.950024548086901	-0.257690296301566	0.194819828491541	-0.606925643011652	"S01"	0.950024548086901	"IS02"
"VEZF1"	"VEZF1"	-0.966001166758287	0.930930148734296	-0.488643071655406	0.287623159263024	-0.116712746429205	"S01"	0.930930148734296	"IS02"
"ARL6IP5"	"ARL6IP5"	-0.408341422076708	0.917330895508644	-0.256375094096127	-0.100698068127235	-0.402242544313554	"S01"	0.917330895508644	"IS02"
"VPS29"	"VPS29"	-0.379725788203787	0.90588827553368	-0.627962444972946	0.343094522885093	-0.662001867008315	"S01"	0.90588827553368	"IS02"
"RPRD2"	"RPRD2"	-0.665715912592911	0.890965396419371	-0.153965252579683	0.366315160547975	-0.870905219053572	"S01"	0.890965396419371	"IS02"
"CCDC152"	"CCDC152"	-0.724932451996451	0.882606922505658	-0.438712849056979	0.262128163307464	-0.333621756444778	"S01"	0.882606922505658	"IS02"
"LBR"	"LBR"	-0.22228013115133	0.881111316257304	-0.0968946013883598	0.248349462684007	-1.23899259635848	"S01"	0.881111316257304	"IS02"
"EIF4E"	"EIF4E"	-0.287663484043061	0.87954288399851	-0.274363220752418	-0.0895972106559561	-0.480082723355547	"S01"	0.87954288399851	"IS02"
"RNF219"	"RNF219"	-0.571485061954625	0.877554928045861	-0.387161532984915	0.409219822581895	-0.766757389354184	"S01"	0.877554928045861	"IS02"
"SCAF4"	"SCAF4"	-0.295520343619844	0.860297960918712	-0.245182680542907	0.205413405678025	-0.905692215448599	"S01"	0.860297960918712	"IS02"
"ATP7A"	"ATP7A"	-0.427654225523493	0.855738819693384	-0.461151374292464	0.457914141862393	-0.886670585278392	"S01"	0.855738819693384	"IS02"
"ARPP19"	"ARPP19"	-0.255430995654112	0.836722297246272	-0.700740860992414	0.287621035491654	-0.543842871620999	"S01"	0.836722297246272	"IS02"
"SMC4"	"SMC4"	0.0101760431231501	0.822909547869296	-0.711097157884028	0.314774416120368	-0.847498835287422	"S01"	0.822909547869296	"IS02"
"AAGAB"	"AAGAB"	-0.425049453499175	0.816080717229353	-0.296732277786268	0.360502823477363	-0.870392230649026	"S01"	0.816080717229353	"IS02"
"ROCK1"	"ROCK1"	-0.347570536717989	0.814759216762904	-0.531696955972644	0.388749366385208	-0.741265124053237	"S01"	0.814759216762904	"IS02"
"HAUS6"	"HAUS6"	-0.235898336108483	0.814018883492392	-0.851269017211513	0.360488803611889	-0.477003992523459	"S01"	0.814018883492392	"IS02"
"SGTB"	"SGTB"	-0.0216940641924024	0.80889483912277	-0.342795555810014	-0.0820353874015777	-0.613483790093347	"S01"	0.80889483912277	"IS02"
"TMEM33"	"TMEM33"	-0.100088766318037	0.807706555663006	-0.524069963767465	-0.0336986989767866	-0.399032963858272	"S01"	0.807706555663006	"IS02"
"ZBTB11"	"ZBTB11"	-0.325331119307795	0.804455458513573	-0.915055637746446	0.450966079788482	-0.427173145505435	"S01"	0.804455458513573	"IS02"
"ZNF227"	"ZNF227"	-0.745400586247909	0.803539959449107	-0.580517358806464	0.736683749265797	-0.738167271276573	"S01"	0.803539959449107	"IS02"
"TXNL1"	"TXNL1"	-0.484972314776892	0.788716857552792	-0.648529781144413	-0.0788652059295331	0.254828667038838	"S01"	0.788716857552792	"IS02"
"TOR1AIP2"	"TOR1AIP2"	-0.773879834520603	0.779814431607692	-0.782100699075541	0.293010977091505	0.190766767638741	"S01"	0.779814431607692	"IS02"
"TP53RK"	"TP53RK"	-0.511442546627713	0.777770518323601	-0.263417811877593	0.225612434650521	-0.560789263902486	"S01"	0.777770518323601	"IS02"
"SOS1"	"SOS1"	-0.216604989757118	0.777242262632903	-0.597509626548205	0.384464799841825	-0.756720405312993	"S01"	0.777242262632903	"IS02"
"ACYP1"	"ACYP1"	-0.614068841136611	0.77355231737202	-0.525760008870205	0.399493979151346	-0.410291497654411	"S01"	0.77355231737202	"IS02"
"XRCC2"	"XRCC2"	-1.14054464810406	0.766471265293326	-0.13603809413834	0.444440790407692	-0.303811324799978	"S01"	0.766471265293326	"IS02"
"XPO1"	"XPO1"	-0.154719759293252	0.766182851504965	-1.04640170099453	0.553251737676207	-0.569787376960108	"S01"	0.766182851504965	"IS02"
"TATDN1"	"TATDN1"	-0.457989526265008	0.751879556621222	-0.2400572364817	-0.0445585409735023	-0.215850963772676	"S01"	0.751879556621222	"IS02"
"PRPF38A"	"PRPF38A"	-0.228556266287742	0.748627047582413	-0.380702836036245	0.295637433243065	-0.808906760505296	"S01"	0.748627047582413	"IS02"
"ZNF138"	"ZNF138"	-0.698854605731599	0.748231026691155	-0.451711837186264	0.565484848464196	-0.602802564543374	"S01"	0.748231026691155	"IS02"
"EPC2"	"EPC2"	-0.231837150367198	0.743558931302414	-0.88886638478433	0.606807359938786	-0.701219251383158	"S01"	0.743558931302414	"IS02"
"RBBP4"	"RBBP4"	-0.0319797857270308	0.742026338079518	0.0692456372050851	-0.105021340556927	-0.921384331210115	"S01"	0.742026338079518	"IS02"
"RNF103"	"RNF103"	-0.867788462909148	0.739159915900659	-0.91749150347531	0.582555471260894	0.0765641333225521	"S01"	0.739159915900659	"IS02"
"WEE1"	"WEE1"	-0.377720631261316	0.736718421184378	-0.597649236685354	0.253002311882079	-0.329931399872555	"S01"	0.736718421184378	"IS02"
"ALG10"	"ALG10"	-0.2195498406561	0.736393458577855	-0.271342507003347	0.153027341411801	-0.712558161776764	"S01"	0.736393458577855	"IS02"
"CCDC90B"	"CCDC90B"	-0.564002651790443	0.733080375085881	-0.324233742609888	0.397926146209231	-0.625247927665365	"S01"	0.733080375085881	"IS02"
"MON2"	"MON2"	-0.814228516006008	0.732897940663648	-0.916977592426511	0.680101898312202	-0.116704393191116	"S01"	0.732897940663648	"IS02"
"TRMT13"	"TRMT13"	-0.137205051065334	0.732586558014883	-0.374042863941872	0.345930360132101	-0.968299169325789	"S01"	0.732586558014883	"IS02"
"USP7"	"USP7"	-0.00644845954280987	0.732248924140957	-0.47902725555803	0.229143411305379	-0.829150852580929	"S01"	0.732248924140957	"IS02"
"TDG"	"TDG"	-0.827767913477765	0.730529927991663	-0.66657413589565	0.577663881108663	-0.22028271590731	"S01"	0.730529927991663	"IS02"
"KIF23"	"KIF23"	-0.360890001488342	0.729443177343434	-0.208205934366508	0.201492361175687	-0.685018444995	"S01"	0.729443177343434	"IS02"
"USP33"	"USP33"	-0.317321414940607	0.729180171716323	-1.01963079130568	0.566486598847931	-0.386089857960797	"S01"	0.729180171716323	"IS02"
"SNRPA1"	"SNRPA1"	-0.821417260140456	0.728362327730604	0.158318037973208	0.350944690992868	-0.787113314014904	"S01"	0.728362327730604	"IS02"
"FBXO11"	"FBXO11"	-0.449097053412721	0.727406897552386	-0.744642196249589	0.479610023055434	-0.408631957735529	"S01"	0.727406897552386	"IS02"
"IDH3A"	"IDH3A"	-0.862227322606481	0.72182143904559	0.280718464952357	0.202580423198531	-0.649188108197178	"S01"	0.72182143904559	"IS02"
"FBXO5"	"FBXO5"	-0.768665589455041	0.71834249378416	0.278295858890953	0.00179292592010162	-0.453112150045463	"S01"	0.71834249378416	"IS02"
"ARL5A"	"ARL5A"	-0.634201397554038	0.714229523381812	-1.2228769432628	0.637939074547665	0.102187905098494	"S01"	0.714229523381812	"IS02"
"RWDD3"	"RWDD3"	-0.352790582267827	0.71294641316017	-0.711357957526552	0.428751278795633	-0.457254234788555	"S01"	0.71294641316017	"IS02"
"SERINC3"	"SERINC3"	-0.254098149107074	0.710737945089091	-0.920637174368637	0.177675372250584	0.0285075569304684	"S01"	0.710737945089091	"IS02"
"NDC1"	"NDC1"	-0.3124711084889	0.71029376103418	-0.495464232003694	0.192052951605206	-0.387314199484817	"S01"	0.71029376103418	"IS02"
"CCDC7"	"CCDC7"	-0.871654515057826	0.710050631418357	-0.447040006444368	0.402421616077785	-0.125515905662668	"S01"	0.710050631418357	"IS02"
"SMU1"	"SMU1"	-0.753007201483493	0.701041987911169	-0.114862310344121	0.372792936676705	-0.560984967047883	"S01"	0.701041987911169	"IS02"
"ZNF284"	"ZNF284"	-1.22591023951852	0.697154500065985	-0.045250687458696	0.387679792040209	-0.128087643143971	"S01"	0.697154500065985	"IS02"
"CLN5"	"CLN5"	0.372392615596601	0.696164781504268	-1.05684696794172	0.320666163033817	-0.706790900271692	"S01"	0.696164781504268	"IS02"
"RNF139"	"RNF139"	-0.343756594648859	0.695825486072185	-0.0857724802521881	-0.0501220295474328	-0.423288554955137	"S01"	0.695825486072185	"IS02"
"ARHGAP12"	"ARHGAP12"	-0.0750613818020171	0.694863434065836	-0.813912345272919	0.249005950077067	-0.367323847167908	"S01"	0.694863434065836	"IS02"
"RBM34"	"RBM34"	-0.53334220416518	0.69446264636799	0.100377274760741	-0.0204259686722583	-0.455862166860755	"S01"	0.69446264636799	"IS02"
"RRN3"	"RRN3"	0.072196080884531	0.693706147244287	-0.723862137852831	0.227865639149963	-0.595732454082211	"S01"	0.693706147244287	"IS02"
"KIF20B"	"KIF20B"	-0.5906241360163	0.691199626786418	-0.158549094539139	0.436455179744767	-0.772771542180998	"S01"	0.691199626786418	"IS02"
"STX6"	"STX6"	-0.228580766680408	0.691012403554409	-0.869530704977388	0.299317807171991	-0.204735468181257	"S01"	0.691012403554409	"IS02"
"PYROXD1"	"PYROXD1"	-0.636638893620778	0.690071507462282	-0.167858939104763	0.505809097386601	-0.811072901594712	"S01"	0.690071507462282	"IS02"
"C17orf80"	"C17orf80"	-0.518861197276348	0.687524312506532	-0.418622727262162	0.366840322028041	-0.464342569556767	"S01"	0.687524312506532	"IS02"
"OR14J1"	"OR14J1"	-0.390321610836485	0.686765078173489	-1.0373926461115	0.42397438622979	-0.0192282853491248	"S01"	0.686765078173489	"IS02"
"RPRD1A"	"RPRD1A"	-0.666818005250971	0.685616978593419	0.106057004174436	0.107605892970781	-0.488064742281267	"S01"	0.685616978593419	"IS02"
"APOOL"	"APOOL"	-0.676074188449346	0.684626465619668	-0.300617803759	-0.012025848064724	0.138006694745173	"S01"	0.684626465619668	"IS02"
"RPAP2"	"RPAP2"	0.00128369912931231	0.683890258606343	-1.02568700439966	0.476854418335998	-0.539229080922122	"S01"	0.683890258606343	"IS02"
"IPMK"	"IPMK"	-0.658248497800726	0.681004784651284	-0.649634781263992	0.271058077222	0.0888885455577913	"S01"	0.681004784651284	"IS02"
"ETNK1"	"ETNK1"	-0.234447365272956	0.680555023471337	-0.226179248140374	0.143894043421942	-0.653753181274471	"S01"	0.680555023471337	"IS02"
"ZCCHC8"	"ZCCHC8"	-0.189996861612274	0.678683936652501	-0.906080284601406	0.506423117028384	-0.492344637644328	"S01"	0.678683936652501	"IS02"
"LYRM2"	"LYRM2"	-0.553069629132782	0.677052536253326	0.250765652761751	0.123050884090329	-0.781418373582477	"S01"	0.677052536253326	"IS02"
"COX17"	"COX17"	-0.697878214464635	0.675559218634013	0.056578396249273	0.130541033255222	-0.419424910614864	"S01"	0.675559218634013	"IS02"
"NCEH1"	"NCEH1"	0.0795802824505426	0.67211771543245	-0.0874744537858056	-0.203517346500432	-0.634552197817226	"S01"	0.67211771543245	"IS02"
"SLC33A1"	"SLC33A1"	-0.458003167016669	0.671810803184776	-0.542565266329743	0.422550891176525	-0.456882313947241	"S01"	0.671810803184776	"IS02"
"LPXN"	"LPXN"	-0.221736003780216	0.671176932901861	0.385605985876487	0.052080780376956	-1.18333629128203	"S01"	0.671176932901861	"IS02"
"CALM2"	"CALM2"	-0.847338973240601	0.669455206377967	-0.267141569895529	0.0531178257825286	0.218022249304739	"S01"	0.669455206377967	"IS02"
"PSMA1"	"PSMA1"	0.0297135705452492	0.667778531207154	-0.982280973132563	0.235665718179214	-0.244076216691156	"S01"	0.667778531207154	"IS02"
"VRK1"	"VRK1"	-0.78897246344295	0.665758548493436	-0.307229952526477	0.400671949354758	-0.304247435010826	"S01"	0.665758548493436	"IS02"
"DLAT"	"DLAT"	-0.571176148809494	0.662146120866111	-0.0724310482834911	0.0339904492317515	-0.261004539911115	"S01"	0.662146120866111	"IS02"
"NBN"	"NBN"	-0.447745761018135	0.659362735996523	-0.48297720677473	0.228166185622686	-0.2323530707978	"S01"	0.659362735996523	"IS02"
"RRAS2"	"RRAS2"	-0.248972348438052	0.651142223939124	-0.472533108883629	0.358034612483444	-0.641764306118629	"S01"	0.651142223939124	"IS02"
"LRRC28"	"LRRC28"	-0.878146192450767	0.650934554685634	-0.491061376153347	0.505171851783302	-0.13783828541772	"S01"	0.650934554685634	"IS02"
"PIAS2"	"PIAS2"	-0.0723942919749358	0.649836212993267	-0.914192716680178	0.471403676062588	-0.522775002436984	"S01"	0.649836212993267	"IS02"
"ZNF726"	"ZNF726"	-0.704186586554332	0.648861883007461	-0.104825747000618	0.33329660348553	-0.495715939083577	"S01"	0.648861883007461	"IS02"
"KIAA1109"	"KIAA1109"	-0.144538951942847	0.647659358673914	-1.09400820974407	0.62052791553175	-0.462216909701002	"S01"	0.647659358673914	"IS02"
"LAMP2"	"LAMP2"	-0.514169838125731	0.647528144631184	-0.494124552412434	-0.128261626062859	0.388896905765772	"S01"	0.647528144631184	"IS02"
"ATAD5"	"ATAD5"	-0.826435288284802	0.647017327836168	0.0168358002458087	0.37883239515767	-0.555559122549309	"S01"	0.647017327836168	"IS02"
"TTC9C"	"TTC9C"	-0.474430429400792	0.639990503477274	-0.121127914869518	0.00419879860230205	-0.241314666417874	"S01"	0.639990503477274	"IS02"
"UBE2D2"	"UBE2D2"	-0.31158094390502	0.638478438707375	-0.352357827395549	0.399573104910845	-0.745237843408565	"S01"	0.638478438707375	"IS02"
"BROX"	"BROX"	-0.84433540220903	0.637746266694106	-0.138534002099525	0.350804314914805	-0.313776488181356	"S01"	0.637746266694106	"IS02"
"FAM199X"	"FAM199X"	-0.498272833172958	0.63550462387268	-0.396494824913109	0.315875811384533	-0.364373873930606	"S01"	0.63550462387268	"IS02"
"TMEM248"	"TMEM248"	-0.842753484581051	0.632219288792576	-0.0983952620735357	0.229097984497288	-0.174052662467226	"S01"	0.632219288792576	"IS02"
"NCAPG"	"NCAPG"	-0.63016549976013	0.630394113251352	0.109370109714481	0.310231769435316	-0.750340336916502	"S01"	0.630394113251352	"IS02"
