"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"CR2"	"CR2"	1.38602861491519	-1.38602861491519	"S01"	1.38602861491519	"IS01"
"SELL"	"SELL"	1.33464628713542	-1.33464628713542	"S01"	1.33464628713542	"IS01"
"LTB"	"LTB"	1.29650610653083	-1.29650610653083	"S01"	1.29650610653083	"IS01"
"FAM159A"	"FAM159A"	1.25332628664297	-1.25332628664297	"S01"	1.25332628664297	"IS01"
"MS4A1"	"MS4A1"	1.24740399948029	-1.24740399948029	"S01"	1.24740399948029	"IS01"
"ELL3"	"ELL3"	1.2332237258881	-1.2332237258881	"S01"	1.2332237258881	"IS01"
"BANK1"	"BANK1"	1.23107598331155	-1.23107598331155	"S01"	1.23107598331155	"IS01"
"TNFRSF13C"	"TNFRSF13C"	1.21784440372421	-1.21784440372421	"S01"	1.21784440372421	"IS01"
"POU2F2"	"POU2F2"	1.20891751507506	-1.20891751507506	"S01"	1.20891751507506	"IS01"
"ZNF860"	"ZNF860"	1.18923088225367	-1.18923088225367	"S01"	1.18923088225367	"IS01"
"CD22"	"CD22"	1.18499553633527	-1.18499553633527	"S01"	1.18499553633527	"IS01"
"STAP1"	"STAP1"	1.17936954632846	-1.17936954632846	"S01"	1.17936954632846	"IS01"
"BLK"	"BLK"	1.1792248569965	-1.1792248569965	"S01"	1.1792248569965	"IS01"
"CD79A"	"CD79A"	1.17850403333291	-1.17850403333291	"S01"	1.17850403333291	"IS01"
"INPP5D"	"INPP5D"	1.15417022353592	-1.15417022353592	"S01"	1.15417022353592	"IS01"
"FCER2"	"FCER2"	1.14815985509326	-1.14815985509326	"S01"	1.14815985509326	"IS01"
"PLAC8"	"PLAC8"	1.14642984573288	-1.14642984573288	"S01"	1.14642984573288	"IS01"
"BCL11A"	"BCL11A"	1.14370433538331	-1.14370433538331	"S01"	1.14370433538331	"IS01"
"PAX5"	"PAX5"	1.14071944053795	-1.14071944053795	"S01"	1.14071944053795	"IS01"
"CD19"	"CD19"	1.14040806957263	-1.14040806957263	"S01"	1.14040806957263	"IS01"
"FCMR"	"FCMR"	1.1365922325245	-1.1365922325245	"S01"	1.1365922325245	"IS01"
"FCRL1"	"FCRL1"	1.13456255007523	-1.13456255007523	"S01"	1.13456255007523	"IS01"
"CYFIP2"	"CYFIP2"	1.12951205390122	-1.12951205390122	"S01"	1.12951205390122	"IS01"
"FAM129C"	"FAM129C"	1.12192594410489	-1.12192594410489	"S01"	1.12192594410489	"IS01"
"SASH3"	"SASH3"	1.11637704342257	-1.11637704342257	"S01"	1.11637704342257	"IS01"
"ISG20"	"ISG20"	1.11184358132682	-1.11184358132682	"S01"	1.11184358132682	"IS01"
"AFF3"	"AFF3"	1.09338226069923	-1.09338226069923	"S01"	1.09338226069923	"IS01"
"CD79B"	"CD79B"	1.08858944437056	-1.08858944437056	"S01"	1.08858944437056	"IS01"
