"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"CCDC80"	"CCDC80"	1.62907295819446	-0.854321387050002	-1.11158292614658	"S01"	1.62907295819446	"IS01"
"DCN"	"DCN"	1.61284883219015	-0.835231443338488	-1.11195927130066	"S01"	1.61284883219015	"IS01"
"COL5A2"	"COL5A2"	1.54673186054735	-1.01040346480316	-0.839844533152401	"S01"	1.54673186054735	"IS01"
"FSTL1"	"FSTL1"	1.53597158244492	-1.0350759845498	-0.799708569374378	"S01"	1.53597158244492	"IS01"
"SPARC"	"SPARC"	1.52936895678988	-0.990119759267231	-0.8400891757593	"S01"	1.52936895678988	"IS01"
"CDH11"	"CDH11"	1.52859457154095	-0.791430370692099	-1.05405408548351	"S01"	1.52859457154095	"IS01"
"ANGPTL2"	"ANGPTL2"	1.52242850252559	-0.851155032850084	-0.981741487328451	"S01"	1.52242850252559	"IS01"
"COL3A1"	"COL3A1"	1.52173986549625	-1.00545312557393	-0.813968698999282	"S01"	1.52173986549625	"IS01"
"CALD1"	"CALD1"	1.52040221812081	-1.02327379233352	-0.793019589185802	"S01"	1.52040221812081	"IS01"
"NID1"	"NID1"	1.51445562059051	-0.678908943773289	-1.15810581589704	"S01"	1.51445562059051	"IS01"
"ADAM12"	"ADAM12"	1.51051589941819	-0.837780233454665	-0.981323294762136	"S01"	1.51051589941819	"IS01"
"THBS2"	"THBS2"	1.50987932850017	-0.916045463567687	-0.89586425794524	"S01"	1.50987932850017	"IS01"
"NRP1"	"NRP1"	1.50818419594933	-0.847130102703246	-0.968295278291267	"S01"	1.50818419594933	"IS01"
"BGN"	"BGN"	1.50274233497288	-0.890555931808254	-0.914518968272807	"S01"	1.50274233497288	"IS01"
"LUM"	"LUM"	1.50117987196283	-0.723942790863753	-1.09280052900751	"S01"	1.50117987196283	"IS01"
"MMP2"	"MMP2"	1.50081965009797	-0.914502849871228	-0.886211691575593	"S01"	1.50081965009797	"IS01"
"IGFBP4"	"IGFBP4"	1.49560407397991	-0.85867613485862	-0.940084775761408	"S01"	1.49560407397991	"IS01"
"COL4A1"	"COL4A1"	1.49546048756108	-0.986252846367875	-0.801899004662316	"S01"	1.49546048756108	"IS01"
"AEBP1"	"AEBP1"	1.48934548099237	-1.04936621369189	-0.725984477932524	"S01"	1.48934548099237	"IS01"
"VCAN"	"VCAN"	1.48914303472035	-0.883801771563081	-0.904831131375732	"S01"	1.48914303472035	"IS01"
"COL5A1"	"COL5A1"	1.48755859083602	-1.00438955543313	-0.772405099532387	"S01"	1.48755859083602	"IS01"
"COL16A1"	"COL16A1"	1.48218856397675	-1.08253191004147	-0.68116389112901	"S01"	1.48218856397675	"IS01"
"FAT4"	"FAT4"	1.47643112851854	-0.871253674197118	-0.902519815228914	"S01"	1.47643112851854	"IS01"
