"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"FAM129B"	"FAM129B"	-0.733496794437345	1.12151634263783	0.36044257887896	-0.836520722899007	"S01"	1.12151634263783	"IS02"
"SLC7A8"	"SLC7A8"	-0.921735426154903	1.07366447124514	0.348276743181245	-0.624163842781388	"S01"	1.07366447124514	"IS02"
"COL6A2"	"COL6A2"	-1.17064915719524	1.02832918434359	0.69345531993236	-0.755937344891308	"S01"	1.02832918434359	"IS02"
"HOMER3"	"HOMER3"	-1.45119136302726	1.0044700506558	0.600751065478636	-0.401889809098153	"S01"	1.0044700506558	"IS02"
"KLF11"	"KLF11"	-1.12365782439089	0.984466152369597	0.231065001985207	-0.246990797108908	"S01"	0.984466152369597	"IS02"
"ZNF697"	"ZNF697"	-1.20528122120542	0.973196733873285	0.487150714155236	-0.450137513121997	"S01"	0.973196733873285	"IS02"
"PLBD1"	"PLBD1"	-0.92851342673944	0.960661588553861	-0.0396218319097797	-0.0883814584923886	"S01"	0.960661588553861	"IS02"
"COL6A1"	"COL6A1"	-1.06565178608217	0.923320377450208	0.675009919967412	-0.724192237373437	"S01"	0.923320377450208	"IS02"
"PINK1"	"PINK1"	-0.832650029484932	0.920625488948238	0.449428328693653	-0.665724908080585	"S01"	0.920625488948238	"IS02"
"TIMP1"	"TIMP1"	-1.04245854341585	0.919504119868287	0.281133845685942	-0.308056315111817	"S01"	0.919504119868287	"IS02"
"PCF11"	"PCF11"	0.387084599206734	0.911066767323402	-0.463357689028213	-0.65768576603034	"S01"	0.911066767323402	"IS02"
"ITGAM"	"ITGAM"	-0.760027754530758	0.910451116144806	0.477800627712818	-0.746954604627239	"S01"	0.910451116144806	"IS02"
"TMEM51"	"TMEM51"	-1.17841594812211	0.903421613094546	0.478706901685209	-0.398009230848945	"S01"	0.903421613094546	"IS02"
"HLX"	"HLX"	-0.946592526404095	0.901113550939462	0.501490466819743	-0.61110060634467	"S01"	0.901113550939462	"IS02"
"TGFBI"	"TGFBI"	-0.792996021318179	0.898820459447229	0.401878707987008	-0.625875722968028	"S01"	0.898820459447229	"IS02"
"ARPIN"	"ARPIN"	-1.04973921153322	0.885767656524742	0.260753845337946	-0.248356028512047	"S01"	0.885767656524742	"IS02"
"DOCK1"	"DOCK1"	-1.08582628873996	0.850592275970651	0.478385216147162	-0.424493515165786	"S01"	0.850592275970651	"IS02"
"LRRC32"	"LRRC32"	-1.05143146584453	0.843441516125872	0.616125197812413	-0.597009331531623	"S01"	0.843441516125872	"IS02"
"FAM46A"	"FAM46A"	-1.12952680424929	0.834947639373872	0.398154521942075	-0.2861493331777	"S01"	0.834947639373872	"IS02"
"HEPH"	"HEPH"	-1.10283934294526	0.834095526021011	0.410901713234652	-0.321229280012836	"S01"	0.834095526021011	"IS02"
"SRGAP2"	"SRGAP2"	-1.00445807329133	0.827123840809819	0.283021487525958	-0.255354942646533	"S01"	0.827123840809819	"IS02"
"VEGFA"	"VEGFA"	-0.738174906280659	0.817768913921962	0.368131746330732	-0.558471978238694	"S01"	0.817768913921962	"IS02"
"HRH1"	"HRH1"	-1.19781455605913	0.81500260937894	0.493010880961333	-0.315488947058203	"S01"	0.81500260937894	"IS02"
"FSTL3"	"FSTL3"	-0.974483254496863	0.80719054645707	0.22270795438227	-0.195316000861122	"S01"	0.80719054645707	"IS02"
"C20orf194"	"C20orf194"	-0.839354521299962	0.796507774902501	0.320534948914114	-0.403486142846101	"S01"	0.796507774902501	"IS02"
"SHB"	"SHB"	-1.45713081223379	0.795841473563251	0.611681298412972	-0.214864975599311	"S01"	0.795841473563251	"IS02"
"GNAQ"	"GNAQ"	-0.692470946830548	0.792945090084721	0.0589248559314587	-0.234047609339786	"S01"	0.792945090084721	"IS02"
"UPP1"	"UPP1"	-0.922446899523792	0.780399188871916	0.451459713470187	-0.463769281401824	"S01"	0.780399188871916	"IS02"
"LRRC59"	"LRRC59"	-0.677125898884958	0.764902327311242	-0.0620022442043243	-0.0880331373967427	"S01"	0.764902327311242	"IS02"
"PKD2"	"PKD2"	-1.02341821790424	0.764237996275884	0.41619015250029	-0.327208428457041	"S01"	0.764237996275884	"IS02"
"SPRED1"	"SPRED1"	-0.658731869450809	0.758195991837639	0.578797226281545	-0.799097123918468	"S01"	0.758195991837639	"IS02"
"CTIF"	"CTIF"	-0.913886090052703	0.755922897481776	0.500467436050309	-0.501724751892285	"S01"	0.755922897481776	"IS02"
"CTBP2"	"CTBP2"	-1.20877840661733	0.755904859221461	0.567861313264302	-0.333523447025103	"S01"	0.755904859221461	"IS02"
"RAB5C"	"RAB5C"	-0.409732680502503	0.753405632430219	-0.0773555429953002	-0.279977416277266	"S01"	0.753405632430219	"IS02"
"ALDH1A3"	"ALDH1A3"	-1.11777954578849	0.752573696124226	0.502127256192026	-0.33307899811748	"S01"	0.752573696124226	"IS02"
"MSN"	"MSN"	-0.63271399201004	0.748164833947588	-0.31434382023179	0.167612722326984	"S01"	0.748164833947588	"IS02"
"CEP295NL"	"CEP295NL"	-1.21717569531927	0.731724648056015	0.647207165487439	-0.391081258918725	"S01"	0.731724648056015	"IS02"
"PRDX5"	"PRDX5"	-0.83486148741982	0.728591654990869	0.1022927743538	-0.104822078672612	"S01"	0.728591654990869	"IS02"
"ZNF521"	"ZNF521"	-0.781037326037845	0.72709693696236	0.436069920149198	-0.513371025756091	"S01"	0.72709693696236	"IS02"
"VWA1"	"VWA1"	-1.06096570857986	0.725659309269574	0.617017852974485	-0.480566545673894	"S01"	0.725659309269574	"IS02"
"CLEC4A"	"CLEC4A"	-1.09100900871936	0.718349375609602	0.499293952265404	-0.320100925647713	"S01"	0.718349375609602	"IS02"
"VENTX"	"VENTX"	-1.27954334037303	0.717664224398548	0.451400929521498	-0.112238782697372	"S01"	0.717664224398548	"IS02"
"SNX21"	"SNX21"	-1.24365804358743	0.709715613867049	0.616140257806366	-0.314822213973144	"S01"	0.709715613867049	"IS02"
"HLA.DRA"	"HLA.DRA"	-0.65167469623637	0.708858239037618	-0.219885285854267	0.116239055348607	"S01"	0.708858239037618	"IS02"
"FABP3"	"FABP3"	-1.28321185386549	0.707786980273619	-0.0666314681415598	0.467638167406211	"S01"	0.707786980273619	"IS02"
"TNPO1"	"TNPO1"	-0.547044020037533	0.704572341615484	-0.064526018596718	-0.1358972292864	"S01"	0.704572341615484	"IS02"
"P4HA1"	"P4HA1"	-0.484448432858598	0.701746192707405	0.0167359855141796	-0.273692974683502	"S01"	0.701746192707405	"IS02"
"EPN1"	"EPN1"	-0.760916670304348	0.699357176808282	0.526193193822377	-0.602833392858975	"S01"	0.699357176808282	"IS02"
"ZCCHC24"	"ZCCHC24"	-1.06645018803653	0.699087159210749	0.627118796841621	-0.462408776508094	"S01"	0.699087159210749	"IS02"
"COMT"	"COMT"	-0.871182943819778	0.693523080986041	0.528896306311501	-0.509864465710237	"S01"	0.693523080986041	"IS02"
