"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"EEF2K"	"EEF2K"	0.394701169151223	-0.394701169151223	"S01"	0.394701169151223	"IS01"
"ACADVL"	"ACADVL"	0.252058442900903	-0.252058442900903	"S01"	0.252058442900903	"IS01"
"MAN2B1"	"MAN2B1"	0.10585868529715	-0.10585868529715	"S01"	0.10585868529715	"IS01"
"GTF2F1"	"GTF2F1"	0.0453910105912692	-0.0453910105912692	"S01"	0.0453910105912692	"IS01"
"P3H3"	"P3H3"	-1.43944658549829	1.43944658549829	"S02"	1.43944658549829	"IS02"
"SCARF2"	"SCARF2"	-1.38049690074943	1.38049690074943	"S02"	1.38049690074943	"IS02"
"EPAS1"	"EPAS1"	-1.32542534183033	1.32542534183033	"S02"	1.32542534183033	"IS02"
"ARHGEF17"	"ARHGEF17"	-1.31171229305176	1.31171229305176	"S02"	1.31171229305176	"IS02"
"HSPA12B"	"HSPA12B"	-1.29609577646167	1.29609577646167	"S02"	1.29609577646167	"IS02"
"CDH5"	"CDH5"	-1.28430246698351	1.28430246698351	"S02"	1.28430246698351	"IS02"
"OLFML1"	"OLFML1"	-1.28191238676916	1.28191238676916	"S02"	1.28191238676916	"IS02"
"PKDCC"	"PKDCC"	-1.2742799999013	1.2742799999013	"S02"	1.2742799999013	"IS02"
"GAS6"	"GAS6"	-1.27369574501512	1.27369574501512	"S02"	1.27369574501512	"IS02"
"CSPG4"	"CSPG4"	-1.2735541993677	1.2735541993677	"S02"	1.2735541993677	"IS02"
"PPFIBP1"	"PPFIBP1"	-1.27306663531188	1.27306663531188	"S02"	1.27306663531188	"IS02"
"PLEKHG5"	"PLEKHG5"	-1.26407646735645	1.26407646735645	"S02"	1.26407646735645	"IS02"
"MMRN2"	"MMRN2"	-1.25497742264543	1.25497742264543	"S02"	1.25497742264543	"IS02"
"SHANK3"	"SHANK3"	-1.2547772044556	1.2547772044556	"S02"	1.2547772044556	"IS02"
"SH3BP4"	"SH3BP4"	-1.25322784388782	1.25322784388782	"S02"	1.25322784388782	"IS02"
"SEMA3G"	"SEMA3G"	-1.2475676204056	1.2475676204056	"S02"	1.2475676204056	"IS02"
"ARAP3"	"ARAP3"	-1.24584895269746	1.24584895269746	"S02"	1.24584895269746	"IS02"
"CHST3"	"CHST3"	-1.24353973759531	1.24353973759531	"S02"	1.24353973759531	"IS02"
"KIF26A"	"KIF26A"	-1.24225167798297	1.24225167798297	"S02"	1.24225167798297	"IS02"
"MCAM"	"MCAM"	-1.23902420954413	1.23902420954413	"S02"	1.23902420954413	"IS02"
"PLAC9"	"PLAC9"	-1.23559567595263	1.23559567595263	"S02"	1.23559567595263	"IS02"
"RTKN"	"RTKN"	-1.22960344053042	1.22960344053042	"S02"	1.22960344053042	"IS02"
"PREX2"	"PREX2"	-1.22872405929885	1.22872405929885	"S02"	1.22872405929885	"IS02"
"FZD8"	"FZD8"	-1.21780892128243	1.21780892128243	"S02"	1.21780892128243	"IS02"
"MAP1A"	"MAP1A"	-1.20914764770664	1.20914764770664	"S02"	1.20914764770664	"IS02"
"CCDC149"	"CCDC149"	-1.19944238041339	1.19944238041339	"S02"	1.19944238041339	"IS02"
"LZTS1"	"LZTS1"	-1.19886250288713	1.19886250288713	"S02"	1.19886250288713	"IS02"
"LDB2"	"LDB2"	-1.19425899413258	1.19425899413258	"S02"	1.19425899413258	"IS02"
"RUNX1T1"	"RUNX1T1"	-1.1914640545464	1.1914640545464	"S02"	1.1914640545464	"IS02"
"ZNF205"	"ZNF205"	-1.17811719922383	1.17811719922383	"S02"	1.17811719922383	"IS02"
"SCN4B"	"SCN4B"	-1.16871481832729	1.16871481832729	"S02"	1.16871481832729	"IS02"
"RASSF8"	"RASSF8"	-1.16405748601398	1.16405748601398	"S02"	1.16405748601398	"IS02"
"SULF2"	"SULF2"	-1.1618350959073	1.1618350959073	"S02"	1.1618350959073	"IS02"
"RAMP2"	"RAMP2"	-1.16069121199943	1.16069121199943	"S02"	1.16069121199943	"IS02"
"CAMSAP2"	"CAMSAP2"	-1.14368790614104	1.14368790614104	"S02"	1.14368790614104	"IS02"
"FRMD6"	"FRMD6"	-1.14343851362994	1.14343851362994	"S02"	1.14343851362994	"IS02"
"INAFM1"	"INAFM1"	-1.13332696173537	1.13332696173537	"S02"	1.13332696173537	"IS02"
"TMEM74B"	"TMEM74B"	-1.13259313630632	1.13259313630632	"S02"	1.13259313630632	"IS02"
