"CellType"	"State"	"InitialEcotype"	"ID"	"Ecotype"
"B_GC"	"S01"	"IE03"	"B_GC_S01"	"E1"
"CAF"	"S02"	"IE03"	"CAF_S02"	"E1"
"DC_Conventional"	"S04"	"IE03"	"DC_Conventional_S04"	"E1"
"DC_Plasmacytoid"	"S01"	"IE03"	"DC_Plasmacytoid_S01"	"E1"
"HRS"	"S01"	"IE03"	"HRS_S01"	"E1"
"NK_cell"	"S01"	"IE03"	"NK_cell_S01"	"E1"
"T_Treg"	"S03"	"IE03"	"T_Treg_S03"	"E1"
"CAF"	"S01"	"IE05"	"CAF_S01"	"E2"
"DC_Conventional"	"S01"	"IE05"	"DC_Conventional_S01"	"E2"
"DC_Plasmacytoid"	"S02"	"IE05"	"DC_Plasmacytoid_S02"	"E2"
"HRS"	"S03"	"IE05"	"HRS_S03"	"E2"
"Macrophage"	"S01"	"IE05"	"Macrophage_S01"	"E2"
"Plasma"	"S02"	"IE05"	"Plasma_S02"	"E2"
"T_CD4"	"S02"	"IE05"	"T_CD4_S02"	"E2"
"T_Treg"	"S01"	"IE05"	"T_Treg_S01"	"E2"
