"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"IL22RA2"	"IL22RA2"	0.250358302361014	0.993289114052833	-0.128452089538417	-0.855070095088319	"S01"	0.993289114052833	"IS02"
"TBX20"	"TBX20"	0.377814687555999	0.938315602952199	-0.0624867344122622	-0.934340426975759	"S01"	0.938315602952199	"IS02"
"ISX"	"ISX"	0.293571937785756	0.908722728701616	0.262724081384201	-1.11661717585328	"S01"	0.908722728701616	"IS02"
"FABP6"	"FABP6"	-0.0581172497143431	0.90060371586594	0.276406724675691	-0.920252527844057	"S01"	0.90060371586594	"IS02"
"AL356585.2"	"AL356585.2"	0.342381036270921	0.877355102001096	0.142415368099039	-1.02460994719399	"S01"	0.877355102001096	"IS02"
"CYP4Z1"	"CYP4Z1"	0.365585296980331	0.834354314553846	0.241548252594891	-1.08022199326558	"S01"	0.834354314553846	"IS02"
"PTGDS"	"PTGDS"	0.341510388447846	0.792063536896132	-0.652293312042718	-0.332381735481566	"S01"	0.792063536896132	"IS02"
"NIFK"	"NIFK"	-0.510902536675366	0.771014899069894	-0.155988554764314	-0.217766495803025	"S01"	0.771014899069894	"IS02"
"MAP7D2"	"MAP7D2"	0.0516751022352695	0.765556907850209	0.419565303089439	-0.984333912827753	"S01"	0.765556907850209	"IS02"
"RPS19"	"RPS19"	0.492759937485444	0.762000556975613	-0.375150277021031	-0.610863700925562	"S01"	0.762000556975613	"IS02"
"FAXC"	"FAXC"	0.0346690078495364	0.753255916195774	0.598943137091525	-1.10495367426799	"S01"	0.753255916195774	"IS02"
"SPIB"	"SPIB"	0.465905899408697	0.726631055630083	-0.516389797857613	-0.456080667788121	"S01"	0.726631055630083	"IS02"
"PRAME"	"PRAME"	0.550969377545787	0.711928553821582	0.389598573868319	-1.20154052224382	"S01"	0.711928553821582	"IS02"
"LY75.CD302"	"LY75.CD302"	-0.112196461391097	0.709998113050441	0.0874787199718026	-0.585587002965234	"S01"	0.709998113050441	"IS02"
"ADAMDEC1"	"ADAMDEC1"	-0.485700403434022	0.707335676604313	-0.157397693270053	-0.178910847943596	"S01"	0.707335676604313	"IS02"
"BCAS1"	"BCAS1"	0.171298357682169	0.680794239817228	0.442101036603483	-1.00077299691619	"S01"	0.680794239817228	"IS02"
"MT.CO2"	"MT.CO2"	-0.256734520116678	0.656905149110883	0.560817452287424	-0.830191756189983	"S01"	0.656905149110883	"IS02"
"SIGLEC12"	"SIGLEC12"	0.190077361494246	0.656823142615584	0.586780269839588	-1.10508112022486	"S01"	0.656823142615584	"IS02"
"RAB33A"	"RAB33A"	0.644465067130917	0.656425704151709	-0.280415248257811	-0.685055637919646	"S01"	0.656425704151709	"IS02"
"ARL14EPL"	"ARL14EPL"	0.124195937770481	0.656071938489869	0.114917895570986	-0.697647082221433	"S01"	0.656071938489869	"IS02"
"HOXB9"	"HOXB9"	0.116649606789585	0.637790310504821	0.0126710228130999	-0.59836751454871	"S01"	0.637790310504821	"IS02"
"SLC35F3"	"SLC35F3"	0.623622570911084	0.630021544005769	0.130438467856639	-0.973096917814244	"S01"	0.630021544005769	"IS02"
"IL5RA"	"IL5RA"	0.187642766311195	0.629729743679483	0.33438447202258	-0.883998503310319	"S01"	0.629729743679483	"IS02"
"CRLF2"	"CRLF2"	0.441194739000838	0.627329946506203	0.406858565971673	-1.08325117403065	"S01"	0.627329946506203	"IS02"
"ENO2"	"ENO2"	0.23832644464505	0.609758169345932	0.220216421641623	-0.807191821968774	"S01"	0.609758169345932	"IS02"
"G6PC3"	"G6PC3"	0.17391050075184	0.606015474601061	0.424915340917389	-0.927612818703001	"S01"	0.606015474601061	"IS02"
"FOXB1"	"FOXB1"	0.486248697835793	0.60245949631812	-0.177637211336501	-0.631154438498454	"S01"	0.60245949631812	"IS02"
"PTPN20"	"PTPN20"	0.113636757733966	0.601094375441773	0.57495320759966	-1.00665300952251	"S01"	0.601094375441773	"IS02"
"NYAP1"	"NYAP1"	0.37452756480743	0.600376330287433	0.312325060040814	-0.949217765300466	"S01"	0.600376330287433	"IS02"
"CFAP57"	"CFAP57"	0.308768478436845	0.590251061769784	0.142494298224112	-0.770547671525984	"S01"	0.590251061769784	"IS02"
"CITED4"	"CITED4"	0.447953843591378	0.590081719336726	0.33538235421815	-1.00068258673034	"S01"	0.590081719336726	"IS02"
"CSF2"	"CSF2"	0.256885912498866	0.588588325497484	0.579415650080405	-1.0815479730285	"S01"	0.588588325497484	"IS02"
"NR1D1"	"NR1D1"	0.346690443276616	0.580512027265724	0.495883803789321	-1.06074697063984	"S01"	0.580512027265724	"IS02"
"LTA"	"LTA"	0.376904649465812	0.570998163137443	-0.0150828673342178	-0.670303932342018	"S01"	0.570998163137443	"IS02"
"DHRS2"	"DHRS2"	0.49537359642344	0.565166605202617	0.512717820190624	-1.14609684150309	"S01"	0.565166605202617	"IS02"
