"cHL09"	"cHL104"	"cHL12"	"cHL122"	"cHL13"	"cHL14"	"cHL19"	"cHL26"	"cHL43"	"cHL48"	"cHL55"	"cHL59"	"cHL60"	"cHL61"	"cHL67"	"cHL68"	"HL003"	"HL005"	"HL013"	"HL014"	"HL015"	"HL021"	"HL022"	"HL079"	"HL080"	"HL145"	"HL146"	"HL347"	"HL356"	"HL357"	"HL364"	"HL367"	"HL368"	"HL400"	"HL419"	"cHL138"	"cHL139"	"cHL149"	"cHL159"	"cHL160"	"cHL164"	"cHL165"	"cHL167"	"cHL168"	"cHL170"	"cHL174"	"cHL177"	"cHL10"	"cHL11"	"cHL15"	"cHL21"	"cHL22"	"cHL23"	"cHL33"	"cHL39"	"cHL40"	"cHL45"	"cHL49"	"cHL58"	"cHL63"	"cHL65"	"cHL70"	"cHL71"	"cHL78"	"HL001"	"HL010"	"HL387"	"HL391"	"HL393"	"cHL137"	"cHL150"	"cHL153"	"cHL154"	"cHL162"	"cHL169"	"cHL175"	"cHL04"	"cHL05"	"cHL06"	"cHL07"	"cHL16"	"cHL17"	"cHL20"	"cHL29"	"cHL32"	"cHL35"	"cHL36"	"cHL41"	"cHL42"	"cHL46"	"cHL52"	"cHL53"	"cHL54"	"cHL56"	"cHL57"	"cHL62"	"cHL69"	"cHL72"	"cHL73"	"HL002"	"HL004"	"HL006"	"HL009"	"HL031"	"HL032"	"HL150"	"HL359"	"HL363"	"HL376"	"HL382"	"HL383"	"HL417"	"cHL136"	"cHL144"	"cHL146"	"cHL147"	"cHL148"	"cHL156"	"cHL158"	"cHL166"
"IL22RA2"	1.45671243802445	-0.210202369947007	1.24680944580558	1.24419402639819	1.34760876493748	1.41310718146102	1.4342542173344	1.19294140218057	-0.0773311180467838	-1.07047481592471	1.16512556885617	1.63620719017071	0.383007003172928	-0.967518492925041	-0.842333370591451	1.35133934883357	1.22367961651837	1.73440869292028	1.33027767788485	-0.651300148363184	1.31326841478011	1.47177823961694	0.443617553551056	0.336068482111834	1.31619672463231	1.50575624947004	1.441768849519	0.251309155760805	-0.224738980310392	-1.09833579975028	1.18119102038843	1.49087306920425	-0.924040233020384	1.17742149888641	1.38550363434325	1.2771468801461	0.479522753233261	1.27005080017643	1.41664669795003	0.17876968144037	1.29805995286897	1.66322183963354	1.11618920685306	0.0456263551663291	-0.800296659515078	0.265017090918186	1.33292398232331	-0.164235829948141	-0.0966183567235107	-0.121881622661728	1.18217617156682	1.256949916361	1.38450090322134	0.592775793116657	0.983370991010543	-0.686538576399232	-1.25012870102141	1.4185497517632	-0.498280723029879	0.410702735834423	-1.06813290587972	1.19450265621018	0.173826747088965	-1.20805595719761	1.36451850592854	0.584921422458504	0.14001929116475	-0.880890365248134	-0.604202575525457	1.58867031097507	1.37699748150831	1.27911351607044	-1.28962332735179	-0.772683872056193	-0.219329561289041	0.0634539951234942	1.4242028709274	-0.664537671461025	0.118279726890438	0.399831122618274	1.16116534164024	-1.25471819662914	-1.25974578659185	1.19993948008844	0.355795586440226	-1.24726926693712	1.28905353853803	-0.393884254888198	1.2771072708858	-0.39780973582123	-0.761308780718096	-0.493693458085432	0.893574365331918	1.27063470508656	0.443560930312359	0.490011585658601	-1.03167059968705	0.142418560994225	-0.0272917078280504	0.0422990147752486	-0.285184603641125	1.27078421088843	-0.550750018366094	0.517142873465995	-0.96168915717885	-0.458521084592031	-0.732092071062643	-1.27323054032162	-0.772178402668436	0.0349598196078025	-0.792927384603241	-0.685183336145134	0.625198341908627	-0.91147258241198	-0.210603717497609	-0.783211342432211	-0.863835409850919	1.5099999598103	-0.65926073446791	-1.3159244746863
"TBX20"	1.13342311735771	0.206478871733561	0.334896880053957	1.41291106692708	1.45579224115099	1.30663551713465	1.31955451522211	1.28534616578497	0.678239844784812	1.17315845188221	1.12938773610284	1.40008415947419	-1.01737166749599	1.22061602695795	1.25305194050942	0.544069159461328	1.20338794449632	1.28286490539799	-0.564409699723865	0.679048657296803	0.160279660486356	1.17323860608469	1.17199964614878	1.10011285552869	1.23274781002507	1.36934688260187	1.18406493939529	0.525144052300216	1.2854180472862	0.451973784125904	1.08282827619397	-1.01737166749599	0.530516094921945	0.828343731607338	1.16117418742973	0.262498944169717	-0.0663964151105211	0.973841872238173	-1.01737166749599	0.11691915377925	-1.01737166749599	1.48597799933382	0.973398242819488	-1.01737166749599	0.108261843287303	1.19945337599132	1.33784391555483	-0.586024273720383	1.35344478056477	-1.01737166749599	1.26581613322805	0.735685085658065	-1.01737166749599	-1.01737166749599	0.684894337484875	0.765841953928264	-1.01737166749599	0.447462248643478	1.32367676218057	0.797604801629072	-0.968231063356095	1.21427398088123	1.21435096833296	-1.01737166749599	1.04351662610229	0.660384476168951	-1.01737166749599	1.39378269580687	1.26358437166617	-0.812328272251921	1.33223901747643	-1.01737166749599	1.46530592683324	-1.01737166749599	1.42186489717094	1.37929793036145	1.05641065411928	-1.01737166749599	0.437120825154445	0.599078979478422	1.40478448496809	-1.01737166749599	-1.01737166749599	-1.01737166749599	-1.01737166749599	-1.01737166749599	-1.01737166749599	1.12041569959402	1.29967322330301	-1.01737166749599	-1.01737166749599	0.890531224640628	-1.01737166749599	1.25802173653878	-1.01737166749599	0.909134321045652	-1.01737166749599	1.37880461884569	0.313979760697278	0.995014477518105	0.889781210005633	1.21166727739219	1.33669776416575	-1.01737166749599	0.165123262151252	0.468792343423626	-1.01737166749599	-1.01737166749599	0.856081034139851	-1.01737166749599	-1.01737166749599	0.475258693871652	1.15906933966021	0.374268888847529	-0.173144642962793	-1.01737166749599	0.0935348405076731	-1.01737166749599	-0.275161495645767	-1.01737166749599
"ISX"	1.10509447679294	0.260426966101369	0.477970364620374	1.02257732832115	-1.20128667825296	1.07160283226013	1.07728947013008	0.328026963388507	0.321645914578806	0.381899432838919	1.03128636678394	1.275846566149	1.11998312592412	0.127675495379464	1.06300950886685	1.07924216128447	1.28150150912797	1.10425798860487	-0.176897255195225	0.320235156885284	1.14404373835126	1.06936982142493	0.424398508708326	1.12343206221606	1.11692617739249	1.19000084306515	1.0446031156762	0.801699628577904	1.11413875142553	0.840495013570236	1.13737652215533	1.21542268898528	0.270680330519577	0.432841553308366	0.599879018570535	1.12901349565466	0.873368236848979	1.16186583872288	0.623549697696315	0.0348900906559889	1.1061784488896	1.06820330363136	-1.20128667825296	0.646567139637344	0.101320930593551	-1.20128667825296	1.0362980043365	-1.20128667825296	0.287027435208331	1.00064938428119	1.11423714119637	0.28945529558423	-1.20128667825296	-1.20128667825296	-1.20128667825296	0.110514042969607	-1.20128667825296	1.21978982175381	1.26822011602774	1.10784554906271	-1.20128667825296	1.11542237021442	1.26263719701607	-1.20128667825296	0.282432049464057	0.594111443890988	1.08357545142348	0.898498614238592	-1.20128667825296	1.32211793526792	0.960942136125589	0.678838887346663	-1.20128667825296	1.22694576167303	1.14703491616938	1.03458198281875	-1.20128667825296	-1.20128667825296	0.491081872414808	1.0772035688898	-0.751907122499648	1.13100700332874	-1.20128667825296	0.48207539013667	1.01644941059574	0.63999931958325	1.13145550839078	1.06825188639927	0.894835336532352	1.09353376046517	0.282421721230826	1.07553998418403	0.968237948327214	1.16412101885853	-1.20128667825296	1.07217002109948	1.06964955899192	0.204396080209289	1.0652433613258	-0.686087502393144	1.07532981567101	1.18031353984079	1.20538783284206	-1.20128667825296	0.136444499038378	0.313307878729506	-1.20128667825296	-1.20128667825296	-1.20128667825296	-1.20128667825296	1.15617464352545	0.480158483408827	0.4354375260923	0.296141293191638	-0.128016569596319	0.453572302416014	1.07720348569754	-1.20128667825296	-0.117086775453652	-1.20128667825296
"FABP6"	1.27240670819053	0.453906664901164	0.493271451033741	0.2937334424376	-0.972757329861866	1.44128156928514	1.29351055198452	1.36099732906774	1.21913010137961	0.934563130646608	0.828487300537558	1.52356464160644	-0.972757329861866	0.478883338810046	1.37689498191375	1.39829367340085	1.51595679635163	1.48478416376117	0.903029794184728	-0.972757329861866	1.41288606334667	-0.972757329861866	1.22495518141237	1.23726423035429	1.26904357846784	1.24940133190302	1.20518153271093	-0.972757329861866	1.2820065420697	0.558185346765804	1.32582174547646	-0.101246490220172	0.633802868743561	-0.972757329861866	1.23431985627398	0.412266622693896	1.46114918618852	1.32914695012418	-0.972757329861866	0.0542840023388659	1.21456641832525	0.773931502765564	1.20643082509108	-0.972757329861866	1.27167988250489	1.29617266593219	-0.352194595749735	1.53291424625855	1.2066652217648	-0.30416096130914	-0.972757329861866	-0.972757329861866	-0.972757329861866	1.19967709474789	1.21493985217658	0.345058365579151	-0.972757329861866	1.24504107585947	1.31283260712612	-0.372873884443694	-0.261157941595294	1.01154200459433	-0.972757329861866	-0.972757329861866	0.899021312838226	0.750079360897438	-0.972757329861866	1.2488843580912	-0.972757329861866	-0.147249723303319	0.340604287204735	-0.972757329861866	-0.972757329861866	-0.972757329861866	-0.972757329861866	-0.972757329861866	1.28904180023544	-0.972757329861866	1.23905243234222	1.35550885242437	0.164485432760135	1.26458549939253	-0.972757329861866	-0.972757329861866	-0.972757329861866	-0.972757329861866	1.30901856041381	1.21990234569228	-0.972757329861866	1.06684962088649	-0.972757329861866	0.0326647182704485	-0.972757329861866	1.21725175203668	-0.972757329861866	-0.972757329861866	-0.972757329861866	1.22770461361371	0.477782796528687	1.39734908936061	1.2133277288454	1.28114031500558	1.32221184004235	-0.65777838784517	1.28537095877489	0.618319295656419	1.27103800369573	1.18360025250533	1.21533601807431	-0.972757329861866	-0.972757329861866	1.12102012198038	-0.972757329861866	0.647734847734814	1.20667327945309	-0.658172572507158	0.432555215389718	-0.972757329861866	0.120816171408846	-0.972757329861866
"AL356585.2"	1.18379097852449	1.43616409606541	1.18808415210477	1.2761403766149	-0.945486547587381	0.238967184770526	1.2778479777947	0.611919560130012	0.0072580248090604	0.268153058216944	1.23886198606382	1.44843455954327	1.25604243724845	0.226373467087357	0.631182742881517	1.24097776598673	1.40448048238046	1.1512450891543	1.5885875863951	-0.945486547587381	1.35911186241305	1.21172804234475	0.635548152182503	0.733486229358531	1.35503837484516	1.19853068453252	-0.945486547587381	-0.945486547587381	1.39574327301534	0.389129885343461	1.25683261987805	1.3248518245715	0.454936404027622	-0.945486547587381	-0.945486547587381	1.29537053916204	1.36410994217594	1.39381621865735	-0.945486547587381	-0.00854402046531024	1.28484008354111	1.49231012093038	-0.945486547587381	0.773988548770453	-0.0726483807284995	0.496831758173999	1.42600811020375	-0.564317784744622	0.266536857770263	-0.945486547587381	1.15554143856944	1.33753940219185	1.54008509645392	-0.443555575900693	1.24401046818503	0.210283474390801	-0.945486547587381	1.404380820949	0.600140448928107	1.01732401102692	-0.945486547587381	1.16734160802353	1.44674529551896	-0.945486547587381	0.754597709857902	0.903805284915121	-0.945486547587381	1.25419888437237	-0.945486547587381	-0.866164407472864	-0.317071560879555	1.13744925210255	-0.945486547587381	-0.945486547587381	1.39618520539424	1.30808729700057	-0.945486547587381	-0.945486547587381	0.389582236483529	1.26192586499046	-0.614575026882721	-0.945486547587381	-0.945486547587381	0.741319087368263	-0.945486547587381	0.945137946516034	-0.945486547587381	0.612861902205599	1.16241819433916	1.12142773038197	-0.945486547587381	-0.560705052620154	-0.945486547587381	1.42874156447377	1.44652696729161	1.13554607350995	-0.945486547587381	1.25037366560663	1.33742241380719	-0.945486547587381	0.762742132010464	1.30157138956032	1.23440259799044	-0.945486547587381	0.123813429827802	0.765168753369146	-0.945486547587381	-0.945486547587381	1.30772094187925	-0.945486547587381	-0.945486547587381	-0.945486547587381	1.30771097464141	0.469534082067264	-0.0927264873830949	-0.945486547587381	1.51141924215347	1.59927295161483	-0.138017450826777	-0.945486547587381
"CYP4Z1"	0.0227875022397402	1.14626960377699	1.14515737999037	-0.408075125669345	1.23349824843269	-0.274113918489599	0.266103000165708	1.11958703601401	0.459686541800878	-0.137632151088412	0.909296992121821	1.24661544471758	1.12154609886403	-0.350306534598171	-0.157255741911954	1.09816965033729	1.25118363166182	1.21729837888563	0.0619957244812898	0.433076582785614	1.27005783597377	1.1125408091938	0.357806738555778	1.14398133318442	1.16097521173613	1.13951629480657	1.08877263804637	-1.23893375805921	0.860962747889742	-0.08499356465855	1.18990419931059	1.08069396368791	1.13807549798032	0.995568385940724	0.529976695114079	1.08253854476252	1.27541329828901	1.09108764084222	-1.23893375805921	-0.635832910102854	1.06992356888802	1.18338017996625	1.14299405711655	0.309732476203286	-0.625572261186438	0.760488598643765	0.793550773043818	1.1386478759312	0.756469684614043	-1.23893375805921	1.16565144484825	0.878788987271261	-1.23893375805921	1.13593916256818	0.534700585007872	-0.591706158974308	-1.23893375805921	0.653489102287649	1.13152691863745	0.685962036458138	1.21184620912961	0.918881450688456	1.15922705392292	-1.23893375805921	1.13984657848003	0.459861497739998	-1.23893375805921	1.16840389622255	-0.443242352539729	1.26584362388702	0.332013365049645	1.11990722149515	-1.23893375805921	-1.23893375805921	1.22814711643623	0.580148284065051	0.609956224387457	0.129553174071502	-0.259970217326118	1.20579162622986	1.17551968197432	1.17558988736792	-1.23893375805921	-1.23893375805921	-1.23893375805921	1.14551861251155	0.375848884792383	0.668313545708568	0.707125173190808	0.429912974424314	-0.219016298850194	1.06909780050687	0.540950704028541	1.14174170883466	0.479073529616144	0.788771198009912	-1.23893375805921	1.13054802749345	1.31021872685782	-1.23893375805921	-0.280536160934791	1.12217576559012	-0.0496433768850467	-0.353163112274486	0.430410913105337	0.341069447657791	0.45490882014818	-0.0503475115672203	1.08863376721295	-1.23893375805921	0.469625398262233	-0.409514056595382	0.842036691264154	-0.641193061620287	0.923460080547996	0.594242174701811	-1.23893375805921	1.19108134387083	-1.23893375805921	-1.23893375805921
"PTGDS"	1.10353535889877	-0.670030779280577	0.48957490030744	0.905317840113263	1.04286134115208	1.35403581519839	0.484715185195301	0.0851533150795652	-0.385382772709725	0.749864040998609	0.708189874593947	0.879871532419043	0.727060647383641	1.019484589299	0.707717586013563	1.09556001094737	1.12787552585527	1.21660903412427	1.0987318944068	0.816505219133616	1.01308858298381	0.426032129240365	0.273610747685043	-1.0277006082173	0.784428110250251	-0.112385927982957	1.31624494000258	0.981911735958682	-0.231558460594027	1.00912880440262	1.16309194443711	-0.0912967529249933	-1.38849387718202	0.94082950820925	1.23002061065391	-0.0420740511859806	0.396079936155467	0.48653972777971	1.31652046098444	1.1400411744188	-0.856723356388725	1.46617952138594	0.951784687280528	0.208901674433111	0.0892999922877287	1.113438221574	0.756281342637714	-0.379403919232002	0.252445326821544	0.817248630522641	1.20088713986155	-0.646106002921961	1.36564305177649	-0.107592172737243	0.672567159859956	0.160871548516833	1.32992523702288	0.741837779615441	-0.934039030584212	-0.0475967182011966	-1.13135922306261	0.988259397361352	-0.021539113212984	-1.86181830041344	0.735260258850617	0.80666065763947	1.337148618549	-1.51765740939658	1.17488675242758	-0.245239005277252	1.26481141972138	0.963299611171808	-0.525185147882659	1.25755551198175	-0.553678123298302	1.26982371087326	-0.389566805604328	-0.602982050167597	0.0715560915978847	0.0827241498810471	0.130194186231003	-2.07594849473032	-1.911064401293	-1.82886234512822	1.09209940675879	-0.832559748122896	0.911038312754794	0.156415170282704	1.1975997773508	-1.21290398217795	-0.758429559150814	-1.87777952385734	-0.82997105349812	0.730901571345258	0.126451743252756	-1.13564630891451	-0.834140471497212	-0.746560721195474	-1.9211456147428	-1.00338832933302	1.28222193119631	0.135476686169724	-0.715513336404502	0.256413040239811	-1.7415701785944	0.916011436447738	-0.159901320997845	-0.558968926484728	-0.0206119470920552	-0.482823233913977	-0.00881252120078369	0.206966495539293	1.01430278923382	-1.01916335916007	-1.69200487151139	0.999680051461442	-1.14175657762325	-1.66351451267776	-2.11712504410471	-1.97508904106025
"NIFK"	1.55178338006601	0.0665949004608272	1.23358171813753	-0.413593213510528	0.447139316029226	-0.74224078526664	-0.824230220857188	1.28337686352142	0.51455187565472	0.583843172808893	-1.10624308971349	1.52794192200878	-0.602852476956941	0.357178889774595	0.399272364871427	0.47657454058707	1.49009041572503	1.53569208684197	1.42501374995506	1.12536570783336	1.64676306137108	-0.471766549015372	1.32128074506631	1.37065283573071	1.11329372676896	1.14251334892569	1.39514763144547	-1.01997328950672	0.141808908421096	-0.83679570212137	-0.242780962085588	0.0254670064881806	-0.0702251291716997	-0.691167794575138	0.109574386098488	1.36749795681675	1.53191954514222	1.56233900379078	-0.350227864433435	1.05526985185024	1.43204516475888	-0.329966085224396	1.40734322146029	1.36460503395375	-0.0771379265257174	1.38558726218219	1.51792056329363	-0.902539840456619	-0.396353554704046	-0.465440980155575	0.0287775617671606	-1.33776195251052	-1.24959047964095	0.373536412628381	-0.786496237688159	0.100047536346776	0.379371208710847	-1.14484313247055	0.0665063027368955	-0.911072939879019	0.629658604605004	-1.47651083514458	-0.89992679982768	-0.595310054966402	-1.10146588262202	1.45697133258224	-0.978923643889705	-1.04344652788549	0.520488440079303	1.73183284146209	-0.673140052057053	-0.416801562135455	-1.14140305347612	-0.914579956194479	-0.833091466197118	-0.53696948712698	-1.15873610292226	-1.04830723025944	-1.06506314866979	1.60032476833939	0.0202209389242312	-1.05765497128342	-0.836574287835812	-1.35872185169811	-0.857861899492851	-1.19797416726625	1.57147546552972	0.274717550194678	-1.08788753414563	0.309473490949003	-0.756070581907767	-1.22889930190186	-0.892150776513263	1.00661179809503	-0.693683931625514	0.381264110610581	-1.02722505298901	-1.32710043109531	1.4730216594167	0.24937230928745	0.135961436801488	1.48211137054736	0.0924523268795075	-0.999121218379871	-0.726426889360535	1.25311343016308	-1.19757538415706	-0.54834623823397	0.383013684061225	-0.997793906657196	0.272083239787025	0.804372561162914	1.470812231761	0.135224202459393	0.440706024107185	1.24060848805336	-1.16755440643156	0.588052462757889	-0.529646776123131	1.32682646110912
"MAP7D2"	0.80365377017422	-0.0429231493804012	1.19458181551057	-0.147027766089752	-0.0261165552330724	-0.0222499246311263	1.26370116289095	0.672860222709032	0.0805793649199903	0.159367777432009	-0.104894207015667	1.15872398935906	0.062903616838794	0.143835084003735	0.14507699295824	1.16523635248106	0.797789196318567	0.673391935619589	1.37454628612174	-1.19435355655505	1.14729979706547	-1.19435355655505	1.18203805779931	0.737189222247588	1.21778296239886	1.22689573168546	1.1634063580034	0.746084833519502	1.1753959111605	0.367034365878504	1.18085122314332	-0.83746125476332	0.0918827713062858	0.433003862983335	1.16027379500776	1.16884288794018	1.3982926374363	1.20686373914419	1.18708678790331	0.353096809285261	-1.19435355655505	1.27299642549767	1.23662350966447	-0.169901166803395	0.308220682532036	1.19100805954527	1.02299452212504	-0.490393795806392	1.244014714265	-1.19435355655505	-1.19435355655505	0.567594155368738	-1.19435355655505	-0.0890196174974116	1.19210045856768	-0.0622903057868752	-1.19435355655505	1.27254574067274	0.497978633396324	0.0033928353033842	-0.6830823390909	0.778127249215903	0.289375122705474	-1.19435355655505	0.733449286155601	1.23153956242783	-1.19435355655505	1.22933712003564	0.553233367241644	1.47340925794422	-0.248950553778933	1.21952895138965	-1.19435355655505	1.30347033975275	-1.19435355655505	-1.19435355655505	-1.19435355655505	0.0181166703305711	0.298553242795474	0.181815903743526	0.612217230884241	1.18159676559526	-1.19435355655505	-1.19435355655505	1.23443615992296	-0.0155006619087876	0.0513576957537417	1.18462527806189	1.17947979517281	1.15925054730806	-1.19435355655505	1.33399306853538	0.170944097726773	1.29307127542765	0.481648770677855	1.15540896511408	-1.19435355655505	1.24251835147259	1.20298866749683	-1.18527648600125	1.25224789914804	0.575528723825013	-1.19435355655505	-1.19435355655505	1.20500920756545	1.26017254577102	-1.19435355655505	1.18846897700828	0.54063754621932	-1.19435355655505	0.214348818597658	1.28676123470597	1.1515431628968	1.18185049781076	1.2030034414817	0.960673589070811	-0.236418186331088	1.21766768188798	0.277933521145373	-1.19435355655505
"RPS19"	0.945258526178495	-0.337190310748953	0.514361922309961	0.975052577899084	1.55917117896424	0.0102361255164038	0.431321761626791	0.423685903536488	-0.254220379280826	1.73766143200344	0.666642098824668	-0.377902302228554	0.745400170526347	-0.498391601268465	-0.615632868266341	1.61020631107855	1.78471093552234	0.490537887809908	1.61758992475649	0.390706003291274	-0.023910581640433	0.390973779565184	0.954234854752105	0.549076445802246	1.3160200271514	1.53868080424298	0.277420065770899	-0.425780641060513	-0.33008151461579	-0.551449050148009	1.14824113106653	-1.07743923654031	0.345865996451613	1.55268470181045	0.419634230281196	0.509115646089412	1.26354012032674	0.761344824870592	0.211894132526092	0.322782189474993	2.30395412767568	1.66654962985491	0.492973522068719	0.263035115104658	0.241557025756114	0.736505613366697	0.136011661193093	1.79955958776632	0.113621449952266	0.460469957693049	0.480682302512717	-0.0840192126064285	1.16111399958703	0.107548197350394	0.430617081955071	1.89708807745457	-1.68501040006441	0.63797676403989	0.523356528815151	0.11915140798729	0.956256586412465	1.52046743785803	0.841789712106971	-1.56092937097246	0.587074414114113	0.555263576001008	-0.693608051321077	-0.0462417687594194	1.49444596702231	-0.211230047490825	-0.77498893293604	0.666286668439439	-0.917234276937202	1.57233088657864	0.416514176503507	1.70558328927065	-0.315132010664099	1.19964027592423	-2.01524084179838	-0.0653501663745355	0.429028618472347	-1.20116822123473	-2.84153940335317	1.36256435422297	-0.276747106917376	-0.588470323680654	-0.139600119003175	0.909430280205888	-0.830654124059952	-0.496430823996593	-0.970858488777047	-0.798245219041739	1.23535646570661	-0.437498287177034	-0.0273994451726883	0.0568340320802912	1.20100215950883	0.338396206908132	-1.20765217813079	-0.585686491837202	0.43785446260751	0.16414638123067	-0.279614894581108	0.495838446717549	0.173290630732146	0.549541104222602	-0.770487161677259	-0.832234277400709	-1.00941644013064	-0.678133698637757	-0.87187560775108	-0.649623308211531	-0.74650100986041	0.0953452493586658	0.329195281453213	-0.889049298276063	-0.613157042582394	0.717248167748052	-0.210133307385934	-1.96951625797587
