"ID"	"State"	"InitialState"
"30"	"cHL09"	"S01"	"IS02"
"31"	"cHL104"	"S01"	"IS02"
"32"	"cHL12"	"S01"	"IS02"
"33"	"cHL122"	"S01"	"IS02"
"34"	"cHL13"	"S01"	"IS02"
"35"	"cHL14"	"S01"	"IS02"
"36"	"cHL19"	"S01"	"IS02"
"37"	"cHL26"	"S01"	"IS02"
"38"	"cHL43"	"S01"	"IS02"
"39"	"cHL48"	"S01"	"IS02"
"40"	"cHL55"	"S01"	"IS02"
"41"	"cHL59"	"S01"	"IS02"
"42"	"cHL60"	"S01"	"IS02"
"43"	"cHL61"	"S01"	"IS02"
"44"	"cHL67"	"S01"	"IS02"
"45"	"cHL68"	"S01"	"IS02"
"46"	"HL003"	"S01"	"IS02"
"47"	"HL005"	"S01"	"IS02"
"48"	"HL013"	"S01"	"IS02"
"49"	"HL014"	"S01"	"IS02"
"50"	"HL015"	"S01"	"IS02"
"51"	"HL021"	"S01"	"IS02"
"52"	"HL022"	"S01"	"IS02"
"53"	"HL079"	"S01"	"IS02"
"54"	"HL080"	"S01"	"IS02"
"55"	"HL145"	"S01"	"IS02"
"56"	"HL146"	"S01"	"IS02"
"57"	"HL347"	"S01"	"IS02"
"58"	"HL356"	"S01"	"IS02"
"59"	"HL357"	"S01"	"IS02"
"60"	"HL364"	"S01"	"IS02"
"61"	"HL367"	"S01"	"IS02"
"62"	"HL368"	"S01"	"IS02"
"63"	"HL400"	"S01"	"IS02"
"64"	"HL419"	"S01"	"IS02"
"65"	"cHL138"	"S01"	"IS02"
"66"	"cHL139"	"S01"	"IS02"
"67"	"cHL149"	"S01"	"IS02"
"68"	"cHL159"	"S01"	"IS02"
"69"	"cHL160"	"S01"	"IS02"
"70"	"cHL164"	"S01"	"IS02"
"71"	"cHL165"	"S01"	"IS02"
"72"	"cHL167"	"S01"	"IS02"
"73"	"cHL168"	"S01"	"IS02"
"74"	"cHL170"	"S01"	"IS02"
"75"	"cHL174"	"S01"	"IS02"
"76"	"cHL177"	"S01"	"IS02"
"1"	"cHL10"	"S02"	"IS01"
"2"	"cHL11"	"S02"	"IS01"
"3"	"cHL15"	"S02"	"IS01"
"4"	"cHL21"	"S02"	"IS01"
"5"	"cHL22"	"S02"	"IS01"
"6"	"cHL23"	"S02"	"IS01"
"7"	"cHL33"	"S02"	"IS01"
"8"	"cHL39"	"S02"	"IS01"
"9"	"cHL40"	"S02"	"IS01"
"10"	"cHL45"	"S02"	"IS01"
"11"	"cHL49"	"S02"	"IS01"
"12"	"cHL58"	"S02"	"IS01"
"13"	"cHL63"	"S02"	"IS01"
"14"	"cHL65"	"S02"	"IS01"
"15"	"cHL70"	"S02"	"IS01"
"16"	"cHL71"	"S02"	"IS01"
"17"	"cHL78"	"S02"	"IS01"
"18"	"HL001"	"S02"	"IS01"
"19"	"HL010"	"S02"	"IS01"
"20"	"HL387"	"S02"	"IS01"
"21"	"HL391"	"S02"	"IS01"
"22"	"HL393"	"S02"	"IS01"
"23"	"cHL137"	"S02"	"IS01"
"24"	"cHL150"	"S02"	"IS01"
"25"	"cHL153"	"S02"	"IS01"
"26"	"cHL154"	"S02"	"IS01"
"27"	"cHL162"	"S02"	"IS01"
"28"	"cHL169"	"S02"	"IS01"
"29"	"cHL175"	"S02"	"IS01"
"77"	"cHL04"	"S03"	"IS03"
"78"	"cHL05"	"S03"	"IS03"
"79"	"cHL06"	"S03"	"IS03"
"80"	"cHL07"	"S03"	"IS03"
"81"	"cHL16"	"S03"	"IS03"
"82"	"cHL17"	"S03"	"IS03"
"83"	"cHL20"	"S03"	"IS03"
"84"	"cHL29"	"S03"	"IS03"
"85"	"cHL32"	"S03"	"IS03"
"86"	"cHL35"	"S03"	"IS03"
"87"	"cHL36"	"S03"	"IS03"
"88"	"cHL41"	"S03"	"IS03"
"89"	"cHL42"	"S03"	"IS03"
"90"	"cHL46"	"S03"	"IS03"
"91"	"cHL52"	"S03"	"IS03"
"92"	"cHL53"	"S03"	"IS03"
"93"	"cHL54"	"S03"	"IS03"
"94"	"cHL56"	"S03"	"IS03"
"95"	"cHL57"	"S03"	"IS03"
"96"	"cHL62"	"S03"	"IS03"
"97"	"cHL69"	"S03"	"IS03"
"98"	"cHL72"	"S03"	"IS03"
"99"	"cHL73"	"S03"	"IS03"
"100"	"HL002"	"S03"	"IS03"
"101"	"HL004"	"S03"	"IS03"
"102"	"HL006"	"S03"	"IS03"
"103"	"HL009"	"S03"	"IS03"
"104"	"HL031"	"S03"	"IS03"
"105"	"HL032"	"S03"	"IS03"
"106"	"HL150"	"S03"	"IS03"
"107"	"HL359"	"S03"	"IS03"
"108"	"HL363"	"S03"	"IS03"
"109"	"HL376"	"S03"	"IS03"
"110"	"HL382"	"S03"	"IS03"
"111"	"HL383"	"S03"	"IS03"
"112"	"HL417"	"S03"	"IS03"
"113"	"cHL136"	"S03"	"IS03"
"114"	"cHL144"	"S03"	"IS03"
"115"	"cHL146"	"S03"	"IS03"
"116"	"cHL147"	"S03"	"IS03"
"117"	"cHL148"	"S03"	"IS03"
"118"	"cHL156"	"S03"	"IS03"
"119"	"cHL158"	"S03"	"IS03"
"120"	"cHL166"	"S03"	"IS03"
