"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"FOSL2"	"FOSL2"	1.57879120960004	-0.801074074063738	-0.755887675755828	-0.338372069214055	"S01"	1.57879120960004	"IS01"
"EMILIN1"	"EMILIN1"	1.55635988946479	-0.998760445340028	-0.664922357071406	-0.190041794845154	"S01"	1.55635988946479	"IS01"
"FAM129B"	"FAM129B"	1.5034276558579	-0.613308045770812	-0.870591083750652	-0.310222171130341	"S01"	1.5034276558579	"IS01"
"PLOD2"	"PLOD2"	1.49729969244054	-0.638483808605251	-0.590018132417635	-0.616936382280404	"S01"	1.49729969244054	"IS01"
"MXRA5"	"MXRA5"	1.49349531614418	-1.23809216679209	-0.218818224741288	-0.373223973250762	"S01"	1.49349531614418	"IS01"
"COL4A2"	"COL4A2"	1.47806525463974	-0.679300039788171	-0.618840109179756	-0.507595979441645	"S01"	1.47806525463974	"IS01"
"COL5A2"	"COL5A2"	1.46592747387426	-1.08614158792409	-0.252118321518393	-0.469931561867055	"S01"	1.46592747387426	"IS01"
"RHOC"	"RHOC"	1.44633083084343	-0.490961386755898	-0.676695589774054	-0.610494557411513	"S01"	1.44633083084343	"IS01"
"SLC39A14"	"SLC39A14"	1.43561524016899	-0.454525861465239	-0.673990656603519	-0.641100793333018	"S01"	1.43561524016899	"IS01"
"LOX"	"LOX"	1.41322133579226	-0.646807173427098	-0.554974813094739	-0.53350714491018	"S01"	1.41322133579226	"IS01"
"LOXL2"	"LOXL2"	1.40825635403835	-0.392784365806862	-0.612503985140326	-0.750023209563018	"S01"	1.40825635403835	"IS01"
"CA12"	"CA12"	1.40438230991929	-1.14424190748942	-0.25557385972467	-0.312938986479772	"S01"	1.40438230991929	"IS01"
"MMP14"	"MMP14"	1.39612101009757	-1.05251833685062	-0.515681975448712	-0.0883793878953126	"S01"	1.39612101009757	"IS01"
"OLFML2B"	"OLFML2B"	1.39594974904658	-1.00026796884755	-0.553339850722533	-0.10239936732712	"S01"	1.39594974904658	"IS01"
"EFNB1"	"EFNB1"	1.39222546046037	-0.812126865749358	-0.436526154734409	-0.458366801639772	"S01"	1.39222546046037	"IS01"
"SLC11A1"	"SLC11A1"	1.38181489865384	-1.06570249579998	-0.470782567055583	-0.108352598172451	"S01"	1.38181489865384	"IS01"
"PI15"	"PI15"	1.37785724271649	-0.858191668024295	-0.311520226478066	-0.538515999029507	"S01"	1.37785724271649	"IS01"
"FAM20C"	"FAM20C"	1.37744841146154	-1.11824189987994	-0.700965325397838	0.241046409444704	"S01"	1.37744841146154	"IS01"
"ADAMTS12"	"ADAMTS12"	1.3718657496742	-0.814713324681606	-0.467159887053206	-0.389489171490781	"S01"	1.3718657496742	"IS01"
"PDPN"	"PDPN"	1.35879934550362	-1.12386623623634	-0.0640628246739537	-0.508252231902069	"S01"	1.35879934550362	"IS01"
"ECM1"	"ECM1"	1.35546186434975	-0.657900106151818	-0.433838379304064	-0.589104279791276	"S01"	1.35546186434975	"IS01"
"ANXA1"	"ANXA1"	1.35257940873816	-0.876779872767689	-0.560318835260714	-0.17651461855718	"S01"	1.35257940873816	"IS01"
"SCN1B"	"SCN1B"	1.3522196850264	-1.05465386001202	-0.575655260095499	0.0486922224491168	"S01"	1.3522196850264	"IS01"
"GLIS3"	"GLIS3"	1.35161223324616	-1.00982375445616	-0.502129394304695	-0.0925969837446515	"S01"	1.35161223324616	"IS01"
"COL7A1"	"COL7A1"	1.35154267810075	-0.524175042934514	-0.664642319698815	-0.455159561781163	"S01"	1.35154267810075	"IS01"
"ADAMTSL4"	"ADAMTSL4"	1.35082053116027	-0.686535626254246	-0.881182176071846	-0.000453828583384129	"S01"	1.35082053116027	"IS01"
