"cHL04"	"cHL05"	"cHL06"	"cHL10"	"cHL11"	"cHL15"	"cHL17"	"cHL20"	"cHL22"	"cHL29"	"cHL32"	"cHL35"	"cHL36"	"cHL39"	"cHL40"	"cHL41"	"cHL42"	"cHL45"	"cHL46"	"cHL49"	"cHL52"	"cHL53"	"cHL54"	"cHL56"	"cHL57"	"cHL58"	"cHL62"	"cHL63"	"cHL69"	"cHL70"	"cHL71"	"cHL72"	"cHL73"	"cHL78"	"HL002"	"HL004"	"HL006"	"HL009"	"HL013"	"HL031"	"HL359"	"HL363"	"HL382"	"HL383"	"HL391"	"HL417"	"cHL139"	"cHL144"	"cHL146"	"cHL147"	"cHL148"	"cHL149"	"cHL156"	"cHL158"	"cHL165"	"cHL166"	"cHL169"	"cHL174"	"cHL175"	"cHL100"	"cHL101"	"cHL102"	"cHL103"	"cHL104"	"cHL110"	"cHL111"	"cHL113"	"cHL114"	"cHL117"	"cHL120"	"cHL121"	"cHL43"	"cHL61"	"cHL64"	"cHL67"	"cHL74"	"cHL77"	"cHL90"	"cHL92"	"HL347"	"HL353"	"HL357"	"HL360"	"HL368"	"HL370"	"HL376"	"HL378"	"HL387"	"cHL124"	"cHL151"	"cHL154"	"cHL168"	"cHL170"	"cHL176"	"cHL178"
"FOSL2"	0.160688769849007	1.05317370238937	1.07381546313424	1.49434900966011	1.37458335976426	1.70609813219938	1.71928517474319	1.71271542132474	0.59740339406222	1.53756550245856	0.778221873531124	0.744536973400712	1.17240816530667	1.13888857122303	1.54326216110224	1.18749907784126	0.774710683921506	0.997001253384348	1.72111094854755	0.752843660231399	1.65269067554199	0.815625856557681	1.38728427986321	0.881444224770796	1.0548063100731	0.722138460345641	1.01515175837318	0.635321097307373	1.44785920762194	0.483231408258717	0.639690464553517	1.68118698056006	1.51707061244556	1.71088691894009	0.596317536007526	1.60238615316009	0.770506083040286	1.54236187686833	0.933119884449893	0.978731862811223	1.21337031111208	1.34804789284814	0.931230484183678	1.47672727286337	0.925140366887801	1.39377838819293	-0.47581435851721	1.12565063066901	1.52021154742152	1.04231151984585	1.37167835662496	-0.000240586284584777	1.7151354344861	0.900005892919656	0.77721175703718	1.53741977613202	0.819817365987686	0.0326195762126223	0.797250635118503	-1.26121230208157	-0.971964449079852	0.594017704101222	0.163301695109028	0.985886750011729	-0.958790637410344	-0.848262576878289	-0.536285118591691	-0.654463828552176	-0.138502003549042	-0.939061400553969	-1.30686953193133	0.496010318414634	0.164946809827826	0.0310690637048296	1.20363138057816	-0.543217711092074	1.46295089976046	-0.981587355159293	-0.863079927680071	-0.754976129119798	0.548195093197482	-0.740077187576524	-0.587482491423828	-0.675967716109991	-0.635591213144697	0.943901738057955	-1.00868171902842	0.00630484734249311	0.937042388164175	-0.719389171905499	-0.514625036379465	-0.472740580087944	-0.563158131403348	-0.108134250175986	-0.58945141853986
"EMILIN1"	0.507115089645518	1.0757617976829	1.22523721942425	1.35614254581553	1.22315291292861	1.43801676303531	1.35843226673731	-0.862589116260637	0.742493109299648	1.08895806299034	0.788934811242149	1.17541535143954	1.45955198132338	-0.0631905699032256	1.60994309529209	1.24108298060399	0.837739287350737	1.31583552171902	1.18908677065683	1.16846339210051	0.864861367902067	1.35700832312786	1.29811737127239	1.07397833538833	1.27171388383963	1.30611708439756	1.14989860325621	0.689223198559177	1.18318928394695	0.437323385031044	0.725925666634223	1.2949886155459	0.938873952506744	1.37676853770816	0.73133923920026	1.24903407797209	0.920990302963285	1.41185231184934	1.3958820859446	1.07429590281855	0.729476717880163	1.11110188812672	0.138144472767659	1.1250994140158	1.2069688126093	1.29587648989046	0.183621441169243	1.43511832588449	1.44699007513086	1.39557841565945	1.31148791263575	0.940827635952857	1.33659396300913	1.38406146976613	1.32540902106039	1.16196928010716	1.13058279281053	1.2620994681372	1.30566335033507	-0.518272675031091	0.178393402790436	0.838517418827116	1.16222106546541	0.189634674749487	-0.815896826910768	-0.700343656979577	-1.14893246040637	0.638133941899967	0.249064879213216	0.0308867264588123	-1.27272749139177	0.55794174415034	-0.02796879924604	0.43594620218506	1.1926003662062	-1.59662821498956	-0.788184130527371	-0.0749602355662744	1.11778654903297	1.15873299515834	-1.41073305693072	-1.33387218395034	-0.961398045023264	-0.53458793277341	-1.53369929606476	-0.553563255931204	-0.57787298327133	0.530285412461482	-0.372770024086462	1.1202683786698	0.0427354932439087	0.8341829508013	-0.889184555764151	-0.350594374350552	-0.339565514302007
"FAM129B"	0.943723219820954	0.900795841251119	0.64201721684887	1.70105087839416	1.30773364775706	1.71641673746522	1.62735583472673	1.68507448665562	0.464596317658122	1.73492066540131	0.856682438843416	1.14684579739491	0.814386897628828	1.18350949392544	1.72600760581846	0.807786476408065	0.895378553205204	1.03947973335405	1.20998462642542	0.903036909753714	0.939851716305346	1.13798882918452	0.951875479763436	0.871982186072466	0.933662663784159	0.831122233555	1.12511685300781	0.345124088998654	0.903590024851738	0.553484050678678	0.900374054605124	1.40959322595561	0.943548586443155	1.47942958240268	1.54486292713971	1.09534185320692	0.370299619227866	1.62991727693351	1.16496898129345	0.369874031797169	1.28458256552086	1.29479340385795	-0.43110562415047	1.07197547334949	1.23029832935661	0.92046014281666	0.388926667721806	1.24901621373062	1.27865786135275	0.843284511133523	1.50048569282406	-0.296455573699282	1.73145555532765	0.93297721133637	0.283086679983269	1.45684730567041	1.22399777421162	0.596493554952327	1.34739669118163	-0.699770821703186	0.0750170693214113	0.828428509519184	0.90794092589224	1.06936967981504	-0.600760237983314	-1.22072990474291	-1.05499782248779	-0.791573689869133	-1.31879328911556	-0.964833230816615	-1.1297317262221	-0.359674732053161	-0.762589101715723	-0.657752487890769	1.1517653825749	-1.0646796652923	0.277331119976224	0.896996660781066	-1.15093956100282	0.967713109441116	-0.385480896982856	-0.874043321582122	0.406628730790087	-0.156281410213298	-0.290915564326586	0.61111412871279	-0.417262741711936	1.12711952234293	-0.205956005279751	-0.204618195976956	-0.335351296386799	-0.225612889976977	-0.293457162563428	-1.15957896336727	-1.0120493298744
"PLOD2"	0.202029731804947	0.842968075281686	0.689699964832878	0.662941469443501	0.0906436398436591	1.49721268477496	1.50333880602416	1.36669660308618	1.0911819039606	1.42282173198404	1.23506152018285	1.34748161006977	1.03170401852738	1.17457587787147	1.11949779841894	1.50849062522207	0.731951112330469	0.596072600123706	1.51399483980714	0.627869542056784	0.590646334310965	1.36140302987569	1.27173139398143	1.47753157823933	1.27693526671097	1.05529438120693	1.3650696346013	0.177618393137108	1.3295440790407	-0.200736000688604	1.25857082945099	1.38750214155924	1.33959018212547	1.4881880388643	1.07949658451841	1.43876330341549	1.45248361028769	1.05877931263644	0.763154373911877	1.14286208612259	0.839199643053756	1.42484498749932	1.14919553416444	1.50232585867633	1.05735924942487	1.17328016412774	-0.160706351552052	1.37278585816418	1.43184000920007	1.11907397571168	1.0263065990103	-0.618433043114973	1.26075953596852	1.13380786968893	0.271449629899182	1.33085282094612	1.13425294465103	0.533524739750916	1.11610537973655	-0.94471649286347	-0.534364541795802	-0.936510185166121	0.0856643861175955	-1.05243707140268	1.13749619610252	-1.11790460130286	-1.00530911842538	0.038009870264234	-0.999889984586382	0.150065034459714	0.568825654907566	-0.914446968048739	-0.335367998461941	-0.808297136506816	0.10204496750684	-1.01991230423215	-0.935437285994957	0.979977624967196	-1.06705112043609	-0.885573274848929	0.0812426302880949	-0.189300011434959	1.07564995756595	-1.13240134450294	-0.540088401090784	1.1206807126068	-1.20128203526287	-0.1117915013675	-1.27182661880848	-0.756493607567582	-0.68779852772998	-1.20533250926673	-1.24628933134273	-1.21889411148492	-1.15498466249257
"MXRA5"	0.677317908025642	1.31492244714406	1.24520098000692	0.855679360947274	-0.186786165886527	1.21717171509546	1.52294798787268	1.18406209664826	1.09049434142282	0.15744212022825	1.21524560032178	1.21471019646461	1.26132981903516	1.0765442815276	-0.263578440764227	1.6268808628261	0.975462524793969	-0.650112103164271	1.77156515747509	1.06224379883696	-0.617308616218455	0.705567579087601	1.19439828335983	1.28854055830477	1.28884562457485	-0.149607872799093	0.67191516567921	1.1838525334866	1.17156359128613	-0.110290141960414	1.17943854610592	1.83720973521342	1.27220409059345	0.420833152713234	0.0306517608007982	1.21386908821057	1.81065205005601	1.40588325050536	1.56501116364512	1.28960694022552	0.890523114807369	1.27565692899805	1.01185759616999	1.25334161746921	-0.465256956533851	1.25189727397127	0.260538159279509	1.68550764877437	1.86435846056544	1.65257919486222	1.18755613472619	1.29527160725626	1.4496369311529	1.7670696448849	1.64853421591963	1.55329440387143	1.06372132604134	1.25476178468389	1.39241821688455	0.0699723509280582	-0.62221975937177	0.0306136906359402	-0.286102767890514	-0.178806660172378	-0.839895328016579	-0.773716540256353	-1.10346421381097	-0.356686857757124	-0.463107034424704	-0.41623008634956	-0.0306649937291188	-0.44116646145342	1.159125829458	0.26088407837906	0.152252367693126	-1.14011275316085	-1.2692386958317	-0.834919286365795	0.045116176611655	1.13871753446977	0.0285025784229201	-0.625329336909928	-0.331219245875864	-1.22725394215667	-0.729754903229998	0.863912083580493	-0.937703845357517	0.824050624276569	-0.319806101493026	-0.387141470267403	0.507295771340637	0.148185021011929	-0.885721870628165	-0.942314139735605	-0.935493088451616
"COL4A2"	1.06781618401851	1.5224685097766	1.43490643329907	1.68779609011137	1.38055105792922	1.63613114893955	1.72011403508623	1.4682385913552	1.10235301046352	1.93502663787801	-0.282213194961446	0.878313482359109	1.34973056227796	1.13134989932069	1.26749147894803	0.772330502501501	-0.657109764369423	1.70158728955232	1.70655321905355	1.19235400874872	1.54078631800316	1.36771708974044	1.20008872151797	0.0512315731703568	1.37924386759899	1.46103253002869	1.38517016029958	1.09349761732638	1.28488113677683	-0.571652197749526	0.670106333164316	0.291990953264109	0.246766307013886	1.02676099258449	0.980897939064177	1.72326168438919	0.515072396512807	1.3178014998108	0.243265039061573	1.02972049825915	1.24426649833434	1.36323755985579	-0.501076591324734	-0.0867836895896728	1.16630223260329	0.953138301103913	-0.625373644365947	1.17930952530842	1.47696919431226	0.849440982679198	1.84216479430328	0.0134352795918673	1.30189372084163	1.85110845542533	1.14398483204436	1.72442569902344	0.915346961467437	0.553825610463036	1.07265946488418	-0.920465374472086	-0.321559292397168	0.821580159720242	1.20934603111078	-0.555768854591885	-0.50675156538357	-0.755656640091423	-0.182660883901202	-1.22747557384005	-1.00414041965572	-0.304168677033321	-1.185179100161	1.27645193261286	0.271591258165794	-0.0759991363186436	-0.74035572439987	-0.246934622880844	-0.683675114159925	-0.708222180054665	0.119728177585093	-0.297737050129086	-1.02571300815933	-1.73523504287488	-0.450044349878985	-0.572304997791054	-0.864152658135954	0.367478995870913	-1.34562970197074	-0.357845338539001	-0.0283903624319888	-0.403261189637609	-0.00448077618824095	-0.200407495110445	-0.0787879266052624	-0.813666679716791	-1.22507764339336
"COL5A2"	0.592733307871631	1.12567816025644	1.13346367569616	1.14536678092764	0.681501923168509	1.23555328631072	1.22720815348101	1.17158193930879	0.984222172668027	1.09380704601832	0.896334343073824	1.15642938992529	1.04395493139277	0.979899050361732	0.633597153838202	1.17895453394408	0.591767827599746	1.11277780879883	1.08849967034792	0.992933454251505	0.63854080024945	1.10282019426705	1.07851450113361	1.01239210976253	1.10776903785233	1.00476495740918	0.983482274043531	0.985456607529154	1.12341993995906	0.512084719990643	0.748347611097745	1.15505172166956	1.15748783439122	1.06469884563191	0.991012906870015	1.09233610018195	1.12259697159906	1.18129913635293	0.434513594692925	1.10648162946806	1.08400297449591	1.02728522563913	1.03768831112594	1.09852003791749	1.07794807778724	1.11976276631775	0.659122632642774	1.06836913344673	1.2788734841769	0.993853977142874	1.18639713507756	0.689749327676583	1.09104998684724	1.23292174273934	0.977663502728717	1.12858133831641	1.12628813455028	0.532457434641779	1.12164890167006	-1.65632382351218	-0.123092821944424	0.0812172364106242	0.535600201012606	0.583585173543227	-0.193084254830837	-1.65632382351218	-0.517074715085509	-1.2134145102392	-0.241372016425838	-0.855591121296399	-1.65632382351218	-0.34051305375958	0.625095847770422	-1.65632382351218	0.521645342790348	0.531527577808715	-1.65632382351218	-1.65632382351218	0.417548029154664	0.365626851148262	-0.712849711879204	-0.761710333390946	0.709406114044405	-0.841088189838952	-0.0497230652038792	0.993444757691291	-0.195891268560306	-0.303550123063844	-0.0473402265774049	0.00924344084642625	-0.292276639461146	-0.851254152301667	-0.262178674536677	-0.777054664049006	-0.517622421907972
"RHOC"	0.662618405563616	1.54170026602904	1.72211472306065	1.63535303258287	1.04484880994614	1.65187134444584	1.74527272833024	1.54363505785144	-0.991382320710746	1.62519052414358	1.04333688580121	1.5625956301808	0.978602557737538	-0.0688889129994233	1.26157580446686	1.42995542610097	0.754429489861645	-0.0806277145708891	1.2953224382673	0.934418210760094	1.55774566794665	1.25465254158634	1.12886757194399	0.171165231430355	0.951408332117637	1.34947211671983	1.01140658309873	0.373470193594601	1.40438937116159	-0.74222600848172	-0.0787593312750421	1.28842416866044	0.868109726432071	1.67008985021442	1.48037165207239	1.45533539667809	1.31980756321921	-0.0670616089510902	0.904653178064407	0.980892992511337	1.0504215302259	1.28474479677308	0.445874229512235	1.41811048099292	1.24620823774394	1.40123204676584	-0.631517896336449	1.78306526753583	1.71611325042262	1.44345894999673	1.6651791178728	-0.667365777167374	1.25547119336515	1.58599879506642	-0.593060050382671	1.77665115209543	0.995913787313292	0.332320134945524	1.32713245322503	-0.404899971368026	-0.719489359742711	-0.805414465746981	0.878732840441497	-0.264254037174396	0.0598117720478479	-1.03611742928498	-0.415782222630208	-0.978753524456426	-0.881869530440276	0.629928560429163	-0.995570638762936	-0.546783347271597	-0.672099267869497	0.480446863908233	-0.816298962456826	-0.848331810884895	-0.829756407069276	-0.329131971556782	-0.935068665250595	-0.051830793370745	-0.78036190009185	-1.10951454189561	-0.05373722106834	-1.15900781245318	-1.06174353458726	-0.325082599871407	-0.879272407159327	-0.0486056825052317	-0.980645155623558	-1.07389589542424	0.015511692412701	-0.736640504782735	0.523881211902537	-0.0403867390215082	-0.55474950436329
"SLC39A14"	-0.728363682850837	-0.268297738361105	1.2036291204251	1.169149372919	0.160412087251806	1.39504246726106	1.70738224594707	1.90935305585824	-0.128192517781975	1.33604981885322	-0.172952611953403	1.24926329030564	1.33010084105326	0.701468195203141	1.178234351348	1.31917756827008	0.186486011248387	1.28826927295774	1.3813829789852	1.19347188757573	1.30331385123004	1.34260703347915	1.29521592465537	1.39582773630456	1.48822021087327	-0.373376977055982	1.24700970107522	0.233435129340745	1.13402730796121	0.133032253200672	0.0843699034644315	1.64490911159076	1.25273920540791	1.38597204478905	-0.247234403530256	1.29706517671521	1.29109580551631	1.32186890714463	1.27627657595212	1.21828532682701	0.186300333825904	1.27591491844159	1.24850471666377	1.46246787116116	1.28964101565046	1.28224990705184	0.0469292697792876	1.43146613453749	1.24154979546655	0.401269752620052	1.25874157757112	0.301355981543376	1.76564225543066	1.40524531800982	1.28182090325199	1.51305706409524	1.21804070537575	0.909948293846041	1.32148820588019	-1.06464511889899	-0.629718844970891	-0.402338427321764	-0.539880729673663	-0.466148794995275	-0.582300959998337	-1.78852765468151	-0.66674266649435	-0.335165801114243	-0.0568912904964788	-1.02281790198252	-1.09068994450413	-0.80527214034892	-0.158483261641936	0.0239719859510486	0.0174533971037078	-1.47599667548035	0.487570924394907	-0.617082966538104	1.3464229625596	-0.513347289082927	-1.10112176543675	0.14084690262417	-0.610196213898007	-0.551756508355011	-0.0553197532171067	1.34197583479834	-0.71427757730118	0.949999354243965	-1.47137980673374	-1.22226776079244	-0.991727102745023	-0.517460140259038	-1.3942613764381	-0.662039047948413	-1.43687535133341
"LOX"	0.0961974138861867	1.32492069868209	1.32309940813517	1.29475733286089	0.453025099225071	1.5503303313232	1.6724342624498	1.05685369669478	1.25977693861341	1.30279427676899	-0.218249192387122	1.37033077220259	1.27928969069008	1.28371226151243	-0.241332035215544	1.3893295885501	0.242692975156958	1.42146794444122	1.32265150987821	-0.690090987698546	-1.12127122894539	1.44733581629069	1.31880505144407	1.37888645305529	1.32280498185173	1.41484931013728	1.26508596803251	1.06077595440945	1.36029854633039	-0.508620731335278	1.26647114529042	1.56586623659334	1.26979757856578	1.26650559315117	-0.0613274244618803	1.59407776732601	1.67512595816729	-0.444378899822549	1.26059993037348	1.27593085173328	0.650074531859783	1.33231340307644	1.3199145942884	1.33361711996726	1.31683117666104	1.35632616649613	-1.08940100964092	1.33967891591059	1.68509121117708	1.31545867164052	1.30754513089742	-0.556484332013313	0.70502144502259	1.44196890721916	-0.0227421992596811	1.66180971011751	1.3266081524479	1.27874161154471	1.26899738126747	-0.557532540320036	-0.0474758960711523	-0.612214054076639	-0.22703984625763	-1.01025775635363	-0.743003973157693	-0.60483330033778	-0.841632695731176	-1.23150404236245	-0.716318932263965	-0.608236911633262	-0.830157841971441	-0.0948828266316558	-0.168272101358088	-0.8513400512838	0.310421542530493	-0.932055828267334	0.410349861818964	1.24986459902109	-0.695332971775413	-0.505045195460655	1.30844456628415	-1.3767635393232	-0.395802236692606	-1.68135434149659	-0.0634564963723481	1.27075351571911	-0.658929120898966	-0.58446159994949	-0.591168780494509	-0.49518800319276	-0.751007156558165	-0.499566826543921	-0.589047191764968	-0.644044490539267	-0.450703470627548
