"ID"	"State"	"InitialState"
"1"	"cHL04"	"S01"	"IS01"
"2"	"cHL05"	"S01"	"IS01"
"3"	"cHL06"	"S01"	"IS01"
"4"	"cHL10"	"S01"	"IS01"
"5"	"cHL11"	"S01"	"IS01"
"6"	"cHL15"	"S01"	"IS01"
"7"	"cHL17"	"S01"	"IS01"
"8"	"cHL20"	"S01"	"IS01"
"9"	"cHL22"	"S01"	"IS01"
"10"	"cHL29"	"S01"	"IS01"
"11"	"cHL32"	"S01"	"IS01"
"12"	"cHL35"	"S01"	"IS01"
"13"	"cHL36"	"S01"	"IS01"
"14"	"cHL39"	"S01"	"IS01"
"15"	"cHL40"	"S01"	"IS01"
"16"	"cHL41"	"S01"	"IS01"
"17"	"cHL42"	"S01"	"IS01"
"18"	"cHL45"	"S01"	"IS01"
"19"	"cHL46"	"S01"	"IS01"
"20"	"cHL49"	"S01"	"IS01"
"21"	"cHL52"	"S01"	"IS01"
"22"	"cHL53"	"S01"	"IS01"
"23"	"cHL54"	"S01"	"IS01"
"24"	"cHL56"	"S01"	"IS01"
"25"	"cHL57"	"S01"	"IS01"
"26"	"cHL58"	"S01"	"IS01"
"27"	"cHL62"	"S01"	"IS01"
"28"	"cHL63"	"S01"	"IS01"
"29"	"cHL69"	"S01"	"IS01"
"30"	"cHL70"	"S01"	"IS01"
"31"	"cHL71"	"S01"	"IS01"
"32"	"cHL72"	"S01"	"IS01"
"33"	"cHL73"	"S01"	"IS01"
"34"	"cHL78"	"S01"	"IS01"
"35"	"HL002"	"S01"	"IS01"
"36"	"HL004"	"S01"	"IS01"
"37"	"HL006"	"S01"	"IS01"
"38"	"HL009"	"S01"	"IS01"
"39"	"HL013"	"S01"	"IS01"
"40"	"HL031"	"S01"	"IS01"
"41"	"HL359"	"S01"	"IS01"
"42"	"HL363"	"S01"	"IS01"
"43"	"HL382"	"S01"	"IS01"
"44"	"HL383"	"S01"	"IS01"
"45"	"HL391"	"S01"	"IS01"
"46"	"HL417"	"S01"	"IS01"
"47"	"cHL139"	"S01"	"IS01"
"48"	"cHL144"	"S01"	"IS01"
"49"	"cHL146"	"S01"	"IS01"
"50"	"cHL147"	"S01"	"IS01"
"51"	"cHL148"	"S01"	"IS01"
"52"	"cHL149"	"S01"	"IS01"
"53"	"cHL156"	"S01"	"IS01"
"54"	"cHL158"	"S01"	"IS01"
"55"	"cHL165"	"S01"	"IS01"
"56"	"cHL166"	"S01"	"IS01"
"57"	"cHL169"	"S01"	"IS01"
"58"	"cHL174"	"S01"	"IS01"
"59"	"cHL175"	"S01"	"IS01"
"152"	"cHL100"	"S02"	"IS04"
"153"	"cHL101"	"S02"	"IS04"
"154"	"cHL102"	"S02"	"IS04"
"155"	"cHL103"	"S02"	"IS04"
"156"	"cHL104"	"S02"	"IS04"
"157"	"cHL110"	"S02"	"IS04"
"158"	"cHL111"	"S02"	"IS04"
"159"	"cHL113"	"S02"	"IS04"
"160"	"cHL114"	"S02"	"IS04"
"161"	"cHL117"	"S02"	"IS04"
"162"	"cHL120"	"S02"	"IS04"
"163"	"cHL121"	"S02"	"IS04"
"164"	"cHL43"	"S02"	"IS04"
"165"	"cHL61"	"S02"	"IS04"
"166"	"cHL64"	"S02"	"IS04"
"167"	"cHL67"	"S02"	"IS04"
"168"	"cHL74"	"S02"	"IS04"
"169"	"cHL77"	"S02"	"IS04"
"170"	"cHL90"	"S02"	"IS04"
"171"	"cHL92"	"S02"	"IS04"
"172"	"HL347"	"S02"	"IS04"
"173"	"HL353"	"S02"	"IS04"
"174"	"HL357"	"S02"	"IS04"
"175"	"HL360"	"S02"	"IS04"
"176"	"HL368"	"S02"	"IS04"
"177"	"HL370"	"S02"	"IS04"
"178"	"HL376"	"S02"	"IS04"
"179"	"HL378"	"S02"	"IS04"
"180"	"HL387"	"S02"	"IS04"
"181"	"cHL124"	"S02"	"IS04"
"182"	"cHL151"	"S02"	"IS04"
"183"	"cHL154"	"S02"	"IS04"
"184"	"cHL168"	"S02"	"IS04"
"185"	"cHL170"	"S02"	"IS04"
"186"	"cHL176"	"S02"	"IS04"
"187"	"cHL178"	"S02"	"IS04"
