"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"PPIL4"	"PPIL4"	-0.762150214993484	-0.490875827722208	1.0098601596365	0.0198320727163505	"S01"	1.0098601596365	"IS03"
"AP5M1"	"AP5M1"	-0.431891918857512	-0.773558260037369	0.95211543827289	0.103606441149096	"S01"	0.95211543827289	"IS03"
"UBE2V2"	"UBE2V2"	-0.782959901438776	-0.234265438171734	0.924357395998732	-0.119741277693325	"S01"	0.924357395998732	"IS03"
"PYHIN1"	"PYHIN1"	-0.000338764947635339	-0.851856448598742	0.886101285593043	-0.063456017680255	"S01"	0.886101285593043	"IS03"
"PNPT1"	"PNPT1"	-0.819979154922815	-0.379684352645476	0.850261202587928	0.110602805098965	"S01"	0.850261202587928	"IS03"
"SUPT20H"	"SUPT20H"	-0.132121770033521	-0.731281236521424	0.826348165512101	-0.0249310785965073	"S01"	0.826348165512101	"IS03"
"RAP1B"	"RAP1B"	-0.0585920890169128	-0.490354109943067	0.800042018215012	-0.27268372182028	"S01"	0.800042018215012	"IS03"
"EED"	"EED"	-0.522395345976852	-0.447560101668311	0.789701951341538	0.0225291201212719	"S01"	0.789701951341538	"IS03"
"PABPC4"	"PABPC4"	-0.937206413427506	-0.0813721377385082	0.75638784179985	0.0081944662956133	"S01"	0.75638784179985	"IS03"
"PUS7L"	"PUS7L"	-0.0136126449236154	-0.538024287207659	0.749103641948581	-0.211694952452348	"S01"	0.749103641948581	"IS03"
"NFYB"	"NFYB"	-0.410940597546168	-0.482768427777916	0.748028382189745	0.016681295867192	"S01"	0.748028382189745	"IS03"
"ZNF573"	"ZNF573"	-0.605738133565836	-0.559730217076773	0.732623470240794	0.238485511505187	"S01"	0.732623470240794	"IS03"
"RPE"	"RPE"	-0.0789185857190378	-0.636508819306165	0.732399279292387	-0.0595138162723298	"S01"	0.732399279292387	"IS03"
"TRAF7"	"TRAF7"	0.0881076477765061	-0.386747915654518	0.720920329905894	-0.394997848619909	"S01"	0.720920329905894	"IS03"
"NUP35"	"NUP35"	-0.305478020528082	-0.391013493543181	0.719441266609054	-0.114154723960963	"S01"	0.719441266609054	"IS03"
