"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"TAS2R30"	"TAS2R30"	-1.05476702882483	-0.179737984050835	1.21919222385668	-0.406587718373414	0.239356438061612	"S01"	1.21919222385668	"IS03"
"VCPIP1"	"VCPIP1"	-1.04084117128662	0.0203547356681996	1.17927874939218	0.159451486331832	-0.552660333042116	"S01"	1.17927874939218	"IS03"
"ZNF131"	"ZNF131"	-0.936404197543997	-0.318164976975966	1.17171287119615	-0.0814773682819688	0.0186899990339451	"S01"	1.17171287119615	"IS03"
"ZNF586"	"ZNF586"	-0.899765189353541	-0.215499141885128	1.14214534011678	0.0973593367921594	-0.291226224881543	"S01"	1.14214534011678	"IS03"
"ZNF75A"	"ZNF75A"	-0.451291497181744	-0.555496791626217	1.08527029526893	0.228739442688346	-0.370106016545332	"S01"	1.08527029526893	"IS03"
"ADSS"	"ADSS"	-0.935309209226115	-0.357108577836128	1.05135490636987	-0.00531156956469868	0.12608699936343	"S01"	1.05135490636987	"IS03"
"YIPF4"	"YIPF4"	-0.937510529468839	0.0135689668893504	1.03260071855805	-0.549249130881572	0.250712034360626	"S01"	1.03260071855805	"IS03"
"XKR6"	"XKR6"	-0.473607675828615	-0.344252886289865	0.985346338111756	0.144533675462463	-0.407214978449655	"S01"	0.985346338111756	"IS03"
"FUS"	"FUS"	-0.912661888207167	-0.474119519413449	0.970402284607284	0.514687159124971	-0.190414661215794	"S01"	0.970402284607284	"IS03"
"SMIM8"	"SMIM8"	-0.602855192080513	-0.0909374776581114	0.950686994023576	-0.324438731950202	-0.0756528368503216	"S01"	0.950686994023576	"IS03"
"FAM133B"	"FAM133B"	-0.598221301910764	-0.306412045132329	0.936195337659752	-0.318856336739455	0.19557882470119	"S01"	0.936195337659752	"IS03"
"SEC22C"	"SEC22C"	-0.485136509289788	-0.30707576874173	0.919386359444387	-0.0894504925002242	-0.126697208611284	"S01"	0.919386359444387	"IS03"
"TRNAU1AP"	"TRNAU1AP"	-0.40625318488093	-0.395395410424332	0.907074658105326	0.0496058639422195	-0.221464750090388	"S01"	0.907074658105326	"IS03"
"BBIP1"	"BBIP1"	-0.745286631748239	0.0566510321799282	0.881638656091905	-0.521862634151813	0.160215650934837	"S01"	0.881638656091905	"IS03"
"CHCHD7"	"CHCHD7"	-0.616799969062831	0.13325892786295	0.88102640668313	-0.470688664236083	-0.108027120177213	"S01"	0.88102640668313	"IS03"
"LRCH1"	"LRCH1"	-0.0921414172300277	-0.610284697654456	0.87680702349415	-0.0249344123708028	-0.145939085226913	"S01"	0.87680702349415	"IS03"
"SEC22B"	"SEC22B"	-0.961370301220945	-0.679240109372767	0.876372949818677	0.254092939856957	0.482698591944302	"S01"	0.876372949818677	"IS03"
"LIN7C"	"LIN7C"	-1.21667696844465	-0.245486791010566	0.875555703206547	0.116310752606025	0.335165073968577	"S01"	0.875555703206547	"IS03"
"CCT6A"	"CCT6A"	-0.395223966960493	-0.389955534531462	0.873562403254466	-0.298418996552081	0.155819157546314	"S01"	0.873562403254466	"IS03"
"NPIPB4"	"NPIPB4"	-0.927221814946881	-0.286370379450888	0.872860787168749	0.668678377669522	-0.452400368005821	"S01"	0.872860787168749	"IS03"
"SUPT20H"	"SUPT20H"	-1.01815283914521	-0.259840027006706	0.86501903455866	0.0607834680609796	0.232419043402643	"S01"	0.86501903455866	"IS03"
"ZNF23"	"ZNF23"	-0.503088723375462	-0.352089750114359	0.862572578037773	-0.0900228771034482	0.0116754758226216	"S01"	0.862572578037773	"IS03"
"CDCA4"	"CDCA4"	0.113263035596406	-0.0968044555828052	0.859511428817137	-0.431613999618317	-0.536726858960781	"S01"	0.859511428817137	"IS03"
"ZNF302"	"ZNF302"	-0.403650767688289	-0.332684468940019	0.854764989292738	-0.0265959477808714	-0.162854905700011	"S01"	0.854764989292738	"IS03"
"FAM173B"	"FAM173B"	-0.548562713776779	-0.1644773595544	0.854385214029869	-0.627859235913761	0.384033570119926	"S01"	0.854385214029869	"IS03"
"FXR1"	"FXR1"	-0.783539041295789	-0.0476781932142821	0.84985936128587	-0.153458435285285	-0.015348320160156	"S01"	0.84985936128587	"IS03"
"MICU2"	"MICU2"	-0.838139141436565	-0.182711763392848	0.849526206699963	0.326686803488956	-0.288069849723483	"S01"	0.849526206699963	"IS03"
"XAF1"	"XAF1"	-0.38981809828839	-0.445644044889408	0.849408511621171	0.32343948213466	-0.389099227444634	"S01"	0.849408511621171	"IS03"
"VPS26B"	"VPS26B"	-0.328831907734185	-0.47062224373241	0.848867093514321	0.329363182745287	-0.422000798571702	"S01"	0.848867093514321	"IS03"
"RAP1GDS1"	"RAP1GDS1"	-0.736451533657176	0.0899007739348782	0.845825992076559	-0.0940263805422826	-0.285382618721572	"S01"	0.845825992076559	"IS03"
"NDUFV2"	"NDUFV2"	-0.913025867791443	0.313859552673516	0.843651986329289	-0.313645119789501	-0.165025565210533	"S01"	0.843651986329289	"IS03"
"TYW3"	"TYW3"	-0.760341747658718	0.103694612553939	0.837536458539518	-0.455679700051073	0.0998479926224006	"S01"	0.837536458539518	"IS03"
"KIAA1147"	"KIAA1147"	-0.55525281873632	-0.538380722730171	0.837075967804821	0.485466355525779	-0.268956354382711	"S01"	0.837075967804821	"IS03"
"RPTOR"	"RPTOR"	0.0265962126769227	-0.479958897936106	0.835582514122058	0.0475873059096688	-0.44597102153785	"S01"	0.835582514122058	"IS03"
"TRMU"	"TRMU"	0.104922261143657	-0.638220461824345	0.834584475841769	-0.129160555728731	-0.144343364115138	"S01"	0.834584475841769	"IS03"
"FBXO3"	"FBXO3"	-0.814348590544147	0.0872499572240211	0.832916828804503	0.0673026321844267	-0.357986996925688	"S01"	0.832916828804503	"IS03"
"BTN3A2"	"BTN3A2"	-0.506758749394578	-0.394101922509821	0.822041189793891	0.69169679238077	-0.686030529745686	"S01"	0.822041189793891	"IS03"
"FPGT"	"FPGT"	-0.708395242157997	-0.445394611006472	0.817540691622318	0.0905208231901515	0.189223876588277	"S01"	0.817540691622318	"IS03"
"GPR180"	"GPR180"	-0.760277126674111	-0.114628445265144	0.807022486301623	-0.484870394365161	0.432934296149367	"S01"	0.807022486301623	"IS03"
"ZDHHC17"	"ZDHHC17"	-0.639228316521691	-0.317968760580611	0.800626531313436	0.447785254530994	-0.379157081985664	"S01"	0.800626531313436	"IS03"
"HNRNPUL2"	"HNRNPUL2"	-0.586062450504774	0.00541565554667508	0.798489990406654	-0.262228036801685	-0.0985090755918576	"S01"	0.798489990406654	"IS03"
"HCG27"	"HCG27"	-0.262214146881493	-0.0754317004576607	0.785916478599086	-0.647370791306616	0.1003666480803	"S01"	0.785916478599086	"IS03"
"OSGEPL1"	"OSGEPL1"	-0.678423769681973	0.327360175955093	0.784890494199659	-0.756954655751585	0.115685244826761	"S01"	0.784890494199659	"IS03"
"ZNF544"	"ZNF544"	-0.361556345741878	-0.0238029606058139	0.782498399038315	-0.315174067123109	-0.204130908573155	"S01"	0.782498399038315	"IS03"
"PLPP5"	"PLPP5"	-0.534052624497355	-0.388997771010935	0.780269611207313	0.0521408436793944	0.0358542086131112	"S01"	0.780269611207313	"IS03"
"GLCCI1"	"GLCCI1"	-1.06939392005725	0.389062459861809	0.78023371671602	-0.045054977895921	-0.310015728736795	"S01"	0.78023371671602	"IS03"
"CFAP70"	"CFAP70"	-0.537709175028924	-0.299877149519764	0.778595399720092	-0.490954549036963	0.487208502831013	"S01"	0.778595399720092	"IS03"
"SCLY"	"SCLY"	0.272650163103273	-0.301678856710932	0.769267195032426	-0.417602396792507	-0.347521259734207	"S01"	0.769267195032426	"IS03"
"EPG5"	"EPG5"	-0.582448468187631	-0.120244903544482	0.760080954434978	-0.224239012511957	0.0577501517062135	"S01"	0.760080954434978	"IS03"
"GSTZ1"	"GSTZ1"	0.0264911939997205	-0.258643879901352	0.753432726082508	-0.37522045337635	-0.190799195701016	"S01"	0.753432726082508	"IS03"
"ENOPH1"	"ENOPH1"	-0.995800748071389	0.207409997126536	0.75020466227551	0.089212635269301	-0.259806708807835	"S01"	0.75020466227551	"IS03"
"SLX4IP"	"SLX4IP"	-0.654292192346179	0.14442777214317	0.747286083939096	-0.741890358090254	0.345251444948656	"S01"	0.747286083939096	"IS03"
"USP16"	"USP16"	-1.01786089700723	-0.0991646245242656	0.744713829339888	0.0155556836035078	0.219461511085486	"S01"	0.744713829339888	"IS03"
"GPATCH2"	"GPATCH2"	-0.548578181334386	-0.0719469284551668	0.743128087643848	-0.490224000049215	0.257653902320803	"S01"	0.743128087643848	"IS03"
"TVP23B"	"TVP23B"	-0.82927640815792	-0.155455363016725	0.742328748175832	0.0306434186641924	0.0961107036267051	"S01"	0.742328748175832	"IS03"
"C8orf37"	"C8orf37"	-0.561011809042802	-0.166614228100122	0.741063894905814	-0.345100044629921	0.239755335051337	"S01"	0.741063894905814	"IS03"
"NSUN6"	"NSUN6"	-0.947817070562951	0.380392269311292	0.726380454056898	-0.369643143506167	-0.0213659756706469	"S01"	0.726380454056898	"IS03"
"DDX60L"	"DDX60L"	-0.269699320198933	-0.163706748388783	0.723316447048778	-0.428599846020829	0.0642394615893612	"S01"	0.723316447048778	"IS03"
"XPNPEP3"	"XPNPEP3"	-0.788135627344497	-0.0872706159579662	0.72260071674606	-0.397536513430567	0.433721320378471	"S01"	0.72260071674606	"IS03"
"PMPCB"	"PMPCB"	-0.931964886765958	0.205740518588122	0.722309022217385	-0.248980239913619	0.0593419826851681	"S01"	0.722309022217385	"IS03"
"LAX1"	"LAX1"	-0.619115176382375	0.492610437178573	0.721746976796031	-0.655674276217765	-0.174771178842182	"S01"	0.721746976796031	"IS03"
"C3orf58"	"C3orf58"	-0.704592066804664	-0.222214993924058	0.719399284430447	-0.146349124438303	0.266625084186271	"S01"	0.719399284430447	"IS03"
"TROVE2"	"TROVE2"	-0.416552103933899	-0.151651402690018	0.718322758776058	-0.337735981701769	0.102273411634233	"S01"	0.718322758776058	"IS03"
"PANK3"	"PANK3"	-0.341794168554502	-0.379160449036242	0.709095911172632	-0.0522501208309176	0.0291151218594818	"S01"	0.709095911172632	"IS03"
"MANEA"	"MANEA"	-0.885145243435822	0.316677348748582	0.708469694797113	-0.555334303024611	0.207656871967252	"S01"	0.708469694797113	"IS03"
"NPAT"	"NPAT"	-0.8620532074823	0.254931261823686	0.707374558735084	-0.0960296240049723	-0.206976809462304	"S01"	0.707374558735084	"IS03"
"ZNF630"	"ZNF630"	-0.56619251471025	0.00996086210372573	0.705618849904374	-0.751900951542585	0.484610455747597	"S01"	0.705618849904374	"IS03"
"SLC38A9"	"SLC38A9"	-0.419475352178083	-0.402333786392886	0.704929992286619	-0.0210552494585874	0.10453933778274	"S01"	0.704929992286619	"IS03"
"SRP9"	"SRP9"	-1.14286237608931	0.16881633375527	0.703163011846906	-0.519335812967533	0.604304834444151	"S01"	0.703163011846906	"IS03"
"ST7L"	"ST7L"	-0.331635842702255	-0.44988072017925	0.701961332014466	-0.169358566207515	0.234275013559012	"S01"	0.701961332014466	"IS03"
"RAD54B"	"RAD54B"	-0.319952088306941	0.0990755210291782	0.697442186166366	-0.833714249922253	0.233437266785946	"S01"	0.697442186166366	"IS03"
"N6AMT1"	"N6AMT1"	-0.749957555181208	-0.00509255811461952	0.697238299733513	0.178095509391754	-0.263130652079534	"S01"	0.697238299733513	"IS03"
"ZNF443"	"ZNF443"	-0.619272747967768	0.144160563953245	0.696793377557889	-0.711765397785462	0.33948358024145	"S01"	0.696793377557889	"IS03"
"ATP5S"	"ATP5S"	-0.667316910313652	-0.144491857100415	0.695554843062579	0.118969323229619	-0.108287821631449	"S01"	0.695554843062579	"IS03"
"FOXN3"	"FOXN3"	-0.586768748479093	-0.383651127718133	0.695044408951051	-0.100403097166271	0.333624056808678	"S01"	0.695044408951051	"IS03"
"ZNF461"	"ZNF461"	-0.60099634044458	0.389321553298135	0.6904611012942	-0.762690505374941	0.0802749825600991	"S01"	0.6904611012942	"IS03"
"ZNF701"	"ZNF701"	-0.774203784331874	-0.061112588330807	0.686741555818476	-0.0345435292689357	0.0583423360825239	"S01"	0.686741555818476	"IS03"
"SEC31B"	"SEC31B"	-0.179458485818408	0.014347186922346	0.67332944906847	-0.0921987173323935	-0.52703139959439	"S01"	0.67332944906847	"IS03"
"RASSF5"	"RASSF5"	-0.585497439666613	0.367944652154982	0.667048793374309	0.057496791576687	-0.720095354642545	"S01"	0.667048793374309	"IS03"
"CEP19"	"CEP19"	-0.316580227300074	-0.0153978211919052	0.665240939337797	-0.498650710605404	0.0652286663531978	"S01"	0.665240939337797	"IS03"
"ZFP90"	"ZFP90"	-0.669235074166846	0.0134284077186595	0.664565437195066	-0.248944288634219	0.111475077091446	"S01"	0.664565437195066	"IS03"
"DNAJC9"	"DNAJC9"	-0.739964367893029	0.396355588521382	0.66446768385865	-0.451077104075619	-0.0846332771622055	"S01"	0.66446768385865	"IS03"
"FAF1"	"FAF1"	-0.5465442825752	-0.173464937871716	0.656411086663955	-0.108785365517586	0.090111875116567	"S01"	0.656411086663955	"IS03"
"TMEM64"	"TMEM64"	-0.581821283962181	-0.101425498932781	0.65439299045409	-0.0690092910480556	-0.00309967432711316	"S01"	0.65439299045409	"IS03"
"HNRNPL"	"HNRNPL"	-0.356036958349063	0.220411804274029	0.65168977580965	-0.0601948168732385	-0.619620662847103	"S01"	0.65168977580965	"IS03"
"DHDDS"	"DHDDS"	-0.130084908823796	-0.368646538047842	0.64917846670553	-0.428583722747419	0.26815756040152	"S01"	0.64917846670553	"IS03"
"TRMT12"	"TRMT12"	-0.271988249478105	-0.0129690746314483	0.64843316315261	-0.583339456421262	0.125678411733169	"S01"	0.64843316315261	"IS03"
"BORCS7"	"BORCS7"	-0.599031206649597	-0.106340309882624	0.646049581126512	-0.541215921834196	0.511865681789042	"S01"	0.646049581126512	"IS03"
"USP48"	"USP48"	-0.70538080600522	0.277782889093066	0.638157318537837	-0.459391397806797	0.0668221191937461	"S01"	0.638157318537837	"IS03"
"TRMT61B"	"TRMT61B"	-0.677692180406784	0.228865622474362	0.631217985764015	-0.568113987931732	0.21968424456361	"S01"	0.631217985764015	"IS03"
"TM2D3"	"TM2D3"	-0.669157843103392	-0.01321882019505	0.630048275214084	0.352499834373015	-0.431233550837515	"S01"	0.630048275214084	"IS03"
"PWWP2A"	"PWWP2A"	-0.198891550064522	-0.713064268020513	0.622462858336631	0.390161526658672	-0.0497384142360824	"S01"	0.622462858336631	"IS03"
"CATSPER2"	"CATSPER2"	-0.803265499417899	-0.0024366141044197	0.620974806365653	0.0717628912712875	-0.0190632316855116	"S01"	0.620974806365653	"IS03"
"BCKDHB"	"BCKDHB"	-0.166454523218152	-0.18484263895957	0.619185581520381	-0.258816605059122	-0.0620495297871558	"S01"	0.619185581520381	"IS03"
"SEPT2"	"SEPT2"	-0.263680290832861	-0.331744407776989	0.611677290141674	-0.365541179350246	0.328888854975241	"S01"	0.611677290141674	"IS03"
"BBS12"	"BBS12"	-0.0909019791223189	0.233329605421583	0.611462306303217	-0.881523124169724	-0.00204012055850472	"S01"	0.611462306303217	"IS03"
"ANKFY1"	"ANKFY1"	-0.527366067082003	-0.405256962916732	0.608607719420556	0.415300188902942	-0.124412750413389	"S01"	0.608607719420556	"IS03"
"SRP19"	"SRP19"	-0.61119425125385	0.503406003540506	0.607957074737576	-0.83980769704237	0.123664940884572	"S01"	0.607957074737576	"IS03"
"SPATS2"	"SPATS2"	-0.619245752790872	-0.258016787600028	0.603571492851435	-0.255548870491165	0.474188243254751	"S01"	0.603571492851435	"IS03"
"IFT88"	"IFT88"	-0.563814824363326	0.296735334416605	0.600668561785439	-0.813828672582413	0.314177099040906	"S01"	0.600668561785439	"IS03"
"HLA.DQA2"	"HLA.DQA2"	-0.208156505848076	0.0142553735397992	0.600053888422762	-0.061509220017655	-0.446622278646211	"S01"	0.600053888422762	"IS03"
"NUGGC"	"NUGGC"	-0.259623920488058	0.444365049171762	0.599298091729693	-0.802711064660736	-0.166999909974166	"S01"	0.599298091729693	"IS03"
"MACC1"	"MACC1"	-0.535413338953945	0.285522614876317	0.599088204682293	-0.602906320130542	0.0869819842403257	"S01"	0.599088204682293	"IS03"
"N4BP1"	"N4BP1"	0.114819044967898	-0.326965940721698	0.598327705357362	-0.650040258854682	0.268441836026263	"S01"	0.598327705357362	"IS03"
"TET2"	"TET2"	-0.517191153089191	0.241296525970266	0.595579356817343	-0.722299146696994	0.25007242385463	"S01"	0.595579356817343	"IS03"
"RPRD1B"	"RPRD1B"	-0.230716840632012	0.108758399956199	0.594172467012005	-0.823528732319763	0.244876167286034	"S01"	0.594172467012005	"IS03"
"TAB3"	"TAB3"	-0.590561117317869	0.0545156217929718	0.591870636136254	-0.0734599589190028	-0.109823592430408	"S01"	0.591870636136254	"IS03"
"MDM2"	"MDM2"	-0.465387833271508	-0.0133219223069308	0.588509464876851	-0.202927288344396	-0.00957203886825785	"S01"	0.588509464876851	"IS03"
"S100B"	"S100B"	0.00955806418804347	0.412085030988887	0.585973405571193	-0.870344246583911	-0.299507258807083	"S01"	0.585973405571193	"IS03"
"LARS"	"LARS"	-0.326794370887946	-0.314735597735435	0.58558705745321	0.0157684827857707	0.00823685021115443	"S01"	0.58558705745321	"IS03"
"MTR"	"MTR"	-0.729154902681083	-0.0903526596125173	0.585506260763268	-0.203360961558281	0.340446299650768	"S01"	0.585506260763268	"IS03"
"ITFG2"	"ITFG2"	-0.602951848882726	-0.34149941463952	0.584078388203201	0.34952751206328	-0.0351705432441674	"S01"	0.584078388203201	"IS03"
"ZDHHC21"	"ZDHHC21"	-0.896908287920078	-0.0240942077023224	0.583736327186628	0.0672159756608989	0.144327652873181	"S01"	0.583736327186628	"IS03"
