"ID"	"State"	"InitialState"
"78"	"cHL07"	"S01"	"IS03"
"79"	"cHL101"	"S01"	"IS03"
"80"	"cHL102"	"S01"	"IS03"
"81"	"cHL103"	"S01"	"IS03"
"82"	"cHL104"	"S01"	"IS03"
"83"	"cHL107"	"S01"	"IS03"
"84"	"cHL108"	"S01"	"IS03"
"85"	"cHL109"	"S01"	"IS03"
"86"	"cHL110"	"S01"	"IS03"
"87"	"cHL111"	"S01"	"IS03"
"88"	"cHL113"	"S01"	"IS03"
"89"	"cHL114"	"S01"	"IS03"
"90"	"cHL116"	"S01"	"IS03"
"91"	"cHL117"	"S01"	"IS03"
"92"	"cHL118"	"S01"	"IS03"
"93"	"cHL120"	"S01"	"IS03"
"94"	"cHL121"	"S01"	"IS03"
"95"	"cHL122"	"S01"	"IS03"
"96"	"cHL123"	"S01"	"IS03"
"97"	"cHL19"	"S01"	"IS03"
"98"	"cHL21"	"S01"	"IS03"
"99"	"cHL22"	"S01"	"IS03"
"100"	"cHL32"	"S01"	"IS03"
"101"	"cHL33"	"S01"	"IS03"
"102"	"cHL49"	"S01"	"IS03"
"103"	"cHL60"	"S01"	"IS03"
"104"	"cHL63"	"S01"	"IS03"
"105"	"cHL68"	"S01"	"IS03"
"106"	"cHL74"	"S01"	"IS03"
"107"	"cHL89"	"S01"	"IS03"
"108"	"cHL93"	"S01"	"IS03"
"109"	"cHL96"	"S01"	"IS03"
"110"	"cHL99"	"S01"	"IS03"
"111"	"HL021"	"S01"	"IS03"
"112"	"HL356"	"S01"	"IS03"
"113"	"HL360"	"S01"	"IS03"
"114"	"HL370"	"S01"	"IS03"
"115"	"HL382"	"S01"	"IS03"
"116"	"HL387"	"S01"	"IS03"
"117"	"HL419"	"S01"	"IS03"
"118"	"cHL124"	"S01"	"IS03"
"154"	"cHL04"	"S02"	"IS05"
"155"	"cHL05"	"S02"	"IS05"
"156"	"cHL06"	"S02"	"IS05"
"157"	"cHL11"	"S02"	"IS05"
"158"	"cHL14"	"S02"	"IS05"
"159"	"cHL17"	"S02"	"IS05"
"160"	"cHL35"	"S02"	"IS05"
"161"	"cHL36"	"S02"	"IS05"
"162"	"cHL39"	"S02"	"IS05"
"163"	"cHL41"	"S02"	"IS05"
"164"	"cHL42"	"S02"	"IS05"
"165"	"cHL46"	"S02"	"IS05"
"166"	"cHL52"	"S02"	"IS05"
"167"	"cHL53"	"S02"	"IS05"
"168"	"cHL54"	"S02"	"IS05"
"169"	"cHL55"	"S02"	"IS05"
"170"	"cHL56"	"S02"	"IS05"
"171"	"cHL57"	"S02"	"IS05"
"172"	"cHL62"	"S02"	"IS05"
"173"	"cHL69"	"S02"	"IS05"
"174"	"cHL72"	"S02"	"IS05"
"175"	"cHL73"	"S02"	"IS05"
"176"	"HL002"	"S02"	"IS05"
"177"	"HL006"	"S02"	"IS05"
"178"	"HL010"	"S02"	"IS05"
"179"	"HL031"	"S02"	"IS05"
"180"	"HL032"	"S02"	"IS05"
"181"	"HL150"	"S02"	"IS05"
"182"	"HL359"	"S02"	"IS05"
"183"	"HL363"	"S02"	"IS05"
"184"	"HL376"	"S02"	"IS05"
"185"	"HL383"	"S02"	"IS05"
"186"	"cHL136"	"S02"	"IS05"
"187"	"cHL138"	"S02"	"IS05"
