"Gene"	"IS01"	"IS02"	"IS03"	"State"	"MaxFC"	"InitialState"
"FAM151A"	"FAM151A"	1.14088670583699	-0.234815234367502	-1.19577218505893	"S01"	1.14088670583699	"IS01"
"RPS27"	"RPS27"	1.12900193607998	-0.0621777529979004	-1.34283977954453	"S01"	1.12900193607998	"IS01"
"RPS15A"	"RPS15A"	1.12554419540104	-0.503349639576065	-0.925028547282534	"S01"	1.12554419540104	"IS01"
"RIC3"	"RIC3"	1.12087063461203	-0.696549570382222	-0.738138005074789	"S01"	1.12087063461203	"IS01"
"RPL34"	"RPL34"	1.075745998698	-0.223762775136793	-1.1252906097232	"S01"	1.075745998698	"IS01"
"RPS21"	"RPS21"	1.06663082221069	-0.494029362710068	-0.860651640522403	"S01"	1.06663082221069	"IS01"
"RPS17"	"RPS17"	1.03782146397235	-0.421352188609901	-0.89302039787378	"S01"	1.03782146397235	"IS01"
"GPA33"	"GPA33"	1.03618035525974	-0.436043719668355	-0.877213045527787	"S01"	1.03618035525974	"IS01"
"ESRRG"	"ESRRG"	1.01237955605561	-0.418077440964023	-0.864515830600167	"S01"	1.01237955605561	"IS01"
"CXCL13"	"CXCL13"	1.00715167998751	-0.648814411065409	-0.641753078524334	"S01"	1.00715167998751	"IS01"
"RBM26"	"RBM26"	1.0051038518869	-1.47333436790832	0.133628971965535	"S01"	1.0051038518869	"IS01"
"RPS25"	"RPS25"	1.00394634870285	-0.673446887385819	-0.614686619786405	"S01"	1.00394634870285	"IS01"
"RPL39"	"RPL39"	0.993450284486166	0.0191277800392763	-1.25082616397463	"S01"	0.993450284486166	"IS01"
"HOOK1"	"HOOK1"	0.986218152112206	-0.505088337882119	-0.750491635033789	"S01"	0.986218152112206	"IS01"
"FAM169A"	"FAM169A"	0.983706997021694	-0.65888584584819	-0.603217449055828	"S01"	0.983706997021694	"IS01"
"TMEM255A"	"TMEM255A"	0.983369587578577	-0.386029811330393	-0.858552662169597	"S01"	0.983369587578577	"IS01"
"RPS3A"	"RPS3A"	0.982094033724825	-0.374025576493892	-0.8682214997836	"S01"	0.982094033724825	"IS01"
"NPIPB9"	"NPIPB9"	0.977075010829703	-0.00643868455741505	-1.20654002136191	"S01"	0.977075010829703	"IS01"
"ANKRD12"	"ANKRD12"	0.975662323012965	-0.623265723013276	-0.62662132488057	"S01"	0.975662323012965	"IS01"
