"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"AKNA"	"AKNA"	1.05200103413148	-0.969364583757405	0.222046634416806	-0.41220923810691	"S01"	1.05200103413148	"IS01"
"ZNF76"	"ZNF76"	1.04682062805914	-0.379297256398077	-0.164937288794617	-0.618717841082592	"S01"	1.04682062805914	"IS01"
"NDE1"	"NDE1"	0.992847331330149	-0.786642296593436	0.010244984382756	-0.283063967884477	"S01"	0.992847331330149	"IS01"
"RINL"	"RINL"	0.955989930528407	-0.633824827580001	0.0954699088079991	-0.53737850362001	"S01"	0.955989930528407	"IS01"
"SUN2"	"SUN2"	0.931876626271516	-0.841925175864763	-0.0403376546270933	-0.0725386199312919	"S01"	0.931876626271516	"IS01"
"ZAP70"	"ZAP70"	0.875740878178866	-0.822674906315297	0.000642787155917035	-0.0804800111596079	"S01"	0.875740878178866	"IS01"
"ZRSR2"	"ZRSR2"	0.875576263601644	-0.275131014919984	-0.346103523892808	-0.294197397779624	"S01"	0.875576263601644	"IS01"
"ZNF821"	"ZNF821"	0.864108989405522	-0.132226828362894	-0.0867020431723543	-0.798048843535516	"S01"	0.864108989405522	"IS01"
"LIME1"	"LIME1"	0.860996911983551	-0.238445670771773	-0.199850477123688	-0.514316680783881	"S01"	0.860996911983551	"IS01"
"IRF3"	"IRF3"	0.825716942124035	-0.544164893669536	-0.132305898062868	-0.184438710852109	"S01"	0.825716942124035	"IS01"
"AHCTF1"	"AHCTF1"	0.803009094445962	-0.41782592020811	-0.0803243640126043	-0.379934395635864	"S01"	0.803009094445962	"IS01"
"DNMT3A"	"DNMT3A"	0.78629174890425	-0.660422203450805	-0.017991576966713	-0.143736637029404	"S01"	0.78629174890425	"IS01"
"SF3A2"	"SF3A2"	0.783181715276415	-0.139164292522664	-0.37455496102841	-0.308557187064359	"S01"	0.783181715276415	"IS01"
"PBX4"	"PBX4"	0.780167381881934	0.0488641011614133	-0.225260015478893	-0.732835851373285	"S01"	0.780167381881934	"IS01"
"ZMIZ2"	"ZMIZ2"	0.760325651093527	0.181691341720603	-0.47212770840988	-0.54502308367449	"S01"	0.760325651093527	"IS01"
"RELL2"	"RELL2"	0.757373821975743	-0.0608749466128841	-0.139331860775469	-0.683319116318873	"S01"	0.757373821975743	"IS01"
"RNF113A"	"RNF113A"	0.751417220871294	0.0622302658424724	-0.246985645451174	-0.684774222884903	"S01"	0.751417220871294	"IS01"
"FCHO1"	"FCHO1"	0.751053730662444	-0.601764089281148	0.0523730725188306	-0.264863636844346	"S01"	0.751053730662444	"IS01"
"APOBEC3D"	"APOBEC3D"	0.73660731810723	0.149622324060617	0.0550980363398201	-1.17272496838965	"S01"	0.73660731810723	"IS01"
"SFSWAP"	"SFSWAP"	0.726205767971442	-0.608350978414358	-0.00312033118872668	-0.152552512223115	"S01"	0.726205767971442	"IS01"
"MCM7"	"MCM7"	0.721237427219999	-0.408545763464398	0.266074744989144	-0.747266182402355	"S01"	0.721237427219999	"IS01"
"SIT1"	"SIT1"	0.71815631633974	-0.223489593277714	0.253199194238086	-0.953555382221917	"S01"	0.71815631633974	"IS01"
"DCAF15"	"DCAF15"	0.714573195951528	-0.157091674805218	-0.493375051839286	-0.0442252896273117	"S01"	0.714573195951528	"IS01"
