"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"ITGB1"	"ITGB1"	-0.0109541348330267	-0.798569679141521	1.31235307915001	-0.264883530486678	"S01"	1.31235307915001	"IS03"
"VCL"	"VCL"	0.325679860483395	-0.769373454694188	1.20815308154121	-0.493207711627181	"S01"	1.20815308154121	"IS03"
"SLC24A3"	"SLC24A3"	0.231290579420585	-0.976754979935011	1.17592924638087	-0.200464977929855	"S01"	1.17592924638087	"IS03"
"SLC18A2"	"SLC18A2"	0.16664723420315	-1.0464354726529	1.16507543328485	-0.0745668166485634	"S01"	1.16507543328485	"IS03"
"JAM3"	"JAM3"	-0.584276798140981	-0.0847850741722537	1.14219108078468	-0.3071426847181	"S01"	1.14219108078468	"IS03"
"PDGFA"	"PDGFA"	0.392942535028648	-0.746161871128558	1.12201113888041	-0.50477471965816	"S01"	1.12201113888041	"IS03"
"GNG11"	"GNG11"	0.190882557137878	-0.788034116474397	1.1045059273837	-0.284341519439183	"S01"	1.1045059273837	"IS03"
"RELL1"	"RELL1"	0.356586748915691	-1.10457969371565	1.09144596230628	-0.1239654924371	"S01"	1.09144596230628	"IS03"
"TAX1BP3"	"TAX1BP3"	0.602171245083069	-1.05738461341322	1.0798923497178	-0.363422412652683	"S01"	1.0798923497178	"IS03"
"PTPN12"	"PTPN12"	-0.27412446197087	-0.186033255540136	1.05926797182997	-0.410558665859011	"S01"	1.05926797182997	"IS03"
"PRDX6"	"PRDX6"	-0.164162007907977	-0.482978238722789	1.05543424355193	-0.228539633438779	"S01"	1.05543424355193	"IS03"
"TGFB1I1"	"TGFB1I1"	0.365025463794034	-0.88785127534333	1.03961324098041	-0.289187249442936	"S01"	1.03961324098041	"IS03"
"BNIP3L"	"BNIP3L"	-0.267298138880576	-0.0722532162787242	1.03785087649667	-0.503728115829812	"S01"	1.03785087649667	"IS03"
"TMEM158"	"TMEM158"	0.439022655363866	-1.04523463854478	1.02889489610805	-0.199211141422003	"S01"	1.02889489610805	"IS03"
"SLC25A37"	"SLC25A37"	0.124774258337246	-0.342767455700465	1.00612649743896	-0.560255991994208	"S01"	1.00612649743896	"IS03"
"BMP6"	"BMP6"	0.189944254880359	-1.08958052285425	1.00363557823356	0.0686942004538274	"S01"	1.00363557823356	"IS03"
"CORO1C"	"CORO1C"	0.0993465161292415	-0.820675547652316	1.00326530754638	-0.10070630849864	"S01"	1.00326530754638	"IS03"
"VGLL4"	"VGLL4"	0.0193622564737004	-0.119722521361193	0.999289357472029	-0.67048633531004	"S01"	0.999289357472029	"IS03"
"LAPTM4B"	"LAPTM4B"	0.197409348306527	-0.932520992213023	0.983992311334344	-0.0658591365917148	"S01"	0.983992311334344	"IS03"
"CD27"	"CD27"	-0.726031573215579	0.536227089709081	0.979589473853864	-0.631149214604928	"S01"	0.979589473853864	"IS03"
"MXI1"	"MXI1"	-0.162948263494304	-0.571222324776991	0.971405503403592	-0.0848201015617274	"S01"	0.971405503403592	"IS03"
"RAB31"	"RAB31"	0.127955959879947	-0.243533745872159	0.971198218973702	-0.626781704428906	"S01"	0.971198218973702	"IS03"
"HIST1H3D"	"HIST1H3D"	-0.458774064474947	0.308705709333156	0.959554083966333	-0.631543079986411	"S01"	0.959554083966333	"IS03"
"CYB5R3"	"CYB5R3"	0.654895936260961	-1.02885297754934	0.941164073481124	-0.327514546179404	"S01"	0.941164073481124	"IS03"
"SEPT5"	"SEPT5"	0.186917776436365	-0.659781534631639	0.920436515510882	-0.257417501395068	"S01"	0.920436515510882	"IS03"
"HSPB1"	"HSPB1"	0.645732868433712	-1.00223257738588	0.898075408242702	-0.311225937183324	"S01"	0.898075408242702	"IS03"
"ANO6"	"ANO6"	0.378248750512058	-0.349993368136114	0.893469181064347	-0.679390500812496	"S01"	0.893469181064347	"IS03"
"PGRMC1"	"PGRMC1"	-0.0539901806190483	-0.548169361890902	0.871935344059468	-0.120900066742953	"S01"	0.871935344059468	"IS03"
"IL2RG"	"IL2RG"	-0.514214736630711	0.330762242647577	0.871489743363318	-0.538052842441115	"S01"	0.871489743363318	"IS03"
"RASGRP4"	"RASGRP4"	0.608579037632412	-0.880769813754655	0.868843539268538	-0.368683945985072	"S01"	0.868843539268538	"IS03"
"EFNA3"	"EFNA3"	-0.0614849137949779	-1.08147380525966	0.857641517997881	0.382951981441337	"S01"	0.857641517997881	"IS03"
"ABLIM3"	"ABLIM3"	0.0827897317502636	-0.508293013925303	0.856328546634645	-0.259661118742253	"S01"	0.856328546634645	"IS03"
"EFHC2"	"EFHC2"	-0.0544482152757318	-1.19435393497871	0.856000044850571	0.481335007202353	"S01"	0.856000044850571	"IS03"
"DPCD"	"DPCD"	0.537430414803463	-1.32474895436806	0.852377772831635	0.108504770742383	"S01"	0.852377772831635	"IS03"
"PCSK6"	"PCSK6"	0.409594628605836	-0.797394061392537	0.848019913230647	-0.262580303090813	"S01"	0.848019913230647	"IS03"
"IL2RB"	"IL2RB"	-0.569430956106041	0.231584156607784	0.800012697673541	-0.346791832793632	"S01"	0.800012697673541	"IS03"
"TMEM91"	"TMEM91"	0.43988888143757	-0.72676689162489	0.79813806565344	-0.314231033795372	"S01"	0.79813806565344	"IS03"
"TSPAN18"	"TSPAN18"	0.432118214215212	-0.803259308141087	0.791486733882036	-0.232852149529103	"S01"	0.791486733882036	"IS03"
"FNBP1"	"FNBP1"	-0.380772936177913	0.25646448137702	0.78971796610309	-0.519277992757553	"S01"	0.78971796610309	"IS03"
"S100A12"	"S100A12"	0.400074730191167	-1.06069577238899	0.78581606888335	0.033181039343199	"S01"	0.78581606888335	"IS03"
"CETN2"	"CETN2"	0.341562309982531	-1.09110015803471	0.783272446298516	0.11176475766217	"S01"	0.783272446298516	"IS03"
"RBPMS2"	"RBPMS2"	0.331091962968111	-0.906611910292614	0.77441576300919	-0.0410733802237411	"S01"	0.77441576300919	"IS03"
"ANKRD9"	"ANKRD9"	0.489075869937388	-0.731857458496088	0.772423470324639	-0.331039047406189	"S01"	0.772423470324639	"IS03"
"ZFPM2"	"ZFPM2"	0.0363488747675534	-0.788189660516409	0.766243798268592	0.103399981923685	"S01"	0.766243798268592	"IS03"
"TM6SF1"	"TM6SF1"	0.065946229320449	-0.287455849756621	0.765569866395464	-0.377762372392587	"S01"	0.765569866395464	"IS03"
"RPS3"	"RPS3"	-0.0562220735981552	-0.319410210083514	0.762635777232474	-0.244273259161373	"S01"	0.762635777232474	"IS03"
"RRAS"	"RRAS"	0.743996487535551	-1.07216067269711	0.760298079691202	-0.224248786673934	"S01"	0.760298079691202	"IS03"
"FBXO5"	"FBXO5"	0.0286048050822057	0.451187899573563	0.752292683628698	-1.01046352290029	"S01"	0.752292683628698	"IS03"
"HEBP2"	"HEBP2"	0.144697122858328	-0.904451543104323	0.75041677573317	0.131049523013692	"S01"	0.75041677573317	"IS03"
"ST7"	"ST7"	-0.110819794584132	-0.464103753562245	0.74352053169826	-0.0520037113121057	"S01"	0.74352053169826	"IS03"
"DNM3"	"DNM3"	-0.210774639284463	0.136191164802466	0.740950784079729	-0.514314632848085	"S01"	0.740950784079729	"IS03"
"S100A4"	"S100A4"	0.442294011427713	-0.693723414795061	0.740386279551893	-0.302266383635495	"S01"	0.740386279551893	"IS03"
"AKR7A2"	"AKR7A2"	0.0904208522371708	-0.716547426662728	0.729856455184697	0.0206424470695077	"S01"	0.729856455184697	"IS03"
"IFRD1"	"IFRD1"	-0.420215370539618	-0.0392621898414808	0.720509291521868	-0.163570729623133	"S01"	0.720509291521868	"IS03"
"PRAF2"	"PRAF2"	0.144747275020276	-0.946659878183984	0.719183284241647	0.193390447230546	"S01"	0.719183284241647	"IS03"
"PTGS1"	"PTGS1"	0.386949564993072	-0.066839993860729	0.718192866402965	-0.811123843120708	"S01"	0.718192866402965	"IS03"
"MPP1"	"MPP1"	0.260347623916724	-0.0191703258477174	0.71432188457217	-0.745874933111703	"S01"	0.71432188457217	"IS03"
"RNF11"	"RNF11"	0.0407233330872487	-0.317199719083685	0.693929392526265	-0.274801970110132	"S01"	0.693929392526265	"IS03"
"FAM78A"	"FAM78A"	0.0902216499246164	-0.772799024441634	0.689777304708392	0.102765917366017	"S01"	0.689777304708392	"IS03"
"VKORC1"	"VKORC1"	0.55506401181129	-0.752457516751149	0.685913480082379	-0.301279454398201	"S01"	0.685913480082379	"IS03"
"MBOAT2"	"MBOAT2"	-0.0147516878172935	-0.151767968260521	0.683776261909319	-0.371652326934985	"S01"	0.683776261909319	"IS03"
"RGS18"	"RGS18"	-0.179728234058176	-0.796356266394544	0.675804628332839	0.360517205536788	"S01"	0.675804628332839	"IS03"
"TPRG1L"	"TPRG1L"	0.0268010647477516	-0.871391796540817	0.666605010208437	0.263438808028442	"S01"	0.666605010208437	"IS03"
"BCAP29"	"BCAP29"	-0.0942071770059523	-0.748910507224948	0.665279727560676	0.253798903161593	"S01"	0.665279727560676	"IS03"
"SELP"	"SELP"	0.131642700447625	-0.530283440717466	0.663498002919304	-0.133074314111914	"S01"	0.663498002919304	"IS03"
"RCC2"	"RCC2"	-0.262205424975546	-0.459742611627237	0.657974411533307	0.135884536190335	"S01"	0.657974411533307	"IS03"
"RHOF"	"RHOF"	-0.729777346522584	0.517290114500778	0.657070997696582	-0.364301000478336	"S01"	0.657070997696582	"IS03"
"LEPROT"	"LEPROT"	-0.143449571499404	-0.222290112153266	0.656498045528828	-0.178910451913566	"S01"	0.656498045528828	"IS03"
