"CellType"	"State"	"InitialEcotype"
"B_cell_S01"	"B_cell"	"S01"	"IE01"
"B_cell_S02"	"B_cell"	"S02"	"IE02"
"B_GC_S01"	"B_GC"	"S01"	"IE03"
"B_GC_S02"	"B_GC"	"S02"	"IE04"
"CAF_S01"	"CAF"	"S01"	"IE05"
"CAF_S02"	"CAF"	"S02"	"IE03"
"CAF_S03"	"CAF"	"S03"	"IE02"
"DC_Conventional_S01"	"DC_Conventional"	"S01"	"IE05"
"DC_Conventional_S02"	"DC_Conventional"	"S02"	"IE04"
"DC_Conventional_S03"	"DC_Conventional"	"S03"	"IE02"
"DC_Conventional_S04"	"DC_Conventional"	"S04"	"IE03"
"DC_Plasmacytoid_S01"	"DC_Plasmacytoid"	"S01"	"IE03"
"DC_Plasmacytoid_S02"	"DC_Plasmacytoid"	"S02"	"IE05"
"HRS_S01"	"HRS"	"S01"	"IE03"
"HRS_S02"	"HRS"	"S02"	"IE04"
"HRS_S03"	"HRS"	"S03"	"IE05"
"Macrophage_S01"	"Macrophage"	"S01"	"IE05"
"Macrophage_S02"	"Macrophage"	"S02"	"IE06"
"NK_cell_S01"	"NK_cell"	"S01"	"IE03"
"NK_cell_S02"	"NK_cell"	"S02"	"IE04"
"Plasma_S01"	"Plasma"	"S01"	"IE06"
"Plasma_S02"	"Plasma"	"S02"	"IE05"
"T_CD4_S01"	"T_CD4"	"S01"	"IE01"
"T_CD4_S02"	"T_CD4"	"S02"	"IE05"
"T_CD4_S03"	"T_CD4"	"S03"	"IE02"
"T_CD8_S01"	"T_CD8"	"S01"	"IE01"
"T_CD8_S02"	"T_CD8"	"S02"	"IE06"
"T_gd_S01"	"T_gd"	"S01"	"IE01"
"T_gd_S02"	"T_gd"	"S02"	"IE06"
"T_Treg_S01"	"T_Treg"	"S01"	"IE05"
"T_Treg_S02"	"T_Treg"	"S02"	"IE04"
"T_Treg_S03"	"T_Treg"	"S03"	"IE03"
