"B_cell_S01"	"B_cell_S02"	"B_GC_S01"	"B_GC_S02"	"CAF_S01"	"CAF_S02"	"CAF_S03"	"DC_Conventional_S01"	"DC_Conventional_S02"	"DC_Conventional_S03"	"DC_Conventional_S04"	"DC_Plasmacytoid_S01"	"DC_Plasmacytoid_S02"	"HRS_S01"	"HRS_S02"	"HRS_S03"	"Macrophage_S01"	"Macrophage_S02"	"NK_cell_S01"	"NK_cell_S02"	"Plasma_S01"	"Plasma_S02"	"T_CD4_S01"	"T_CD4_S02"	"T_CD4_S03"	"T_CD8_S01"	"T_CD8_S02"	"T_gd_S01"	"T_gd_S02"	"T_Treg_S01"	"T_Treg_S02"	"T_Treg_S03"
"B_cell_S01"	1	0	0.265486725663717	0.364485981308411	0	0.409090909090909	0	0	0	0	0.373831775700935	0	0	0.330275229357798	0	0	0	0	0.31858407079646	0	0.263636363636364	0	0.660714285714286	0	0	0.441176470588235	0	0.352941176470588	0.368	0	0.27027027027027	0.435185185185185
"B_cell_S02"	0	1	0	0	0	0	0.418367346938776	0.303921568627451	0	0.285714285714286	0	0	0	0	0	0.29126213592233	0.333333333333333	0	0	0	0	0	0	0.333333333333333	0.41	0	0	0	0	0.27	0	0
"B_GC_S01"	0.265486725663717	0	1	0	0	0.416666666666667	0	0	0	0	0.649122807017544	0.28695652173913	0	0.352941176470588	0	0	0	0	0.684210526315789	0	0	0	0.385416666666667	0	0	0	0.414285714285714	0	0.388235294117647	0	0	0.569230769230769
"B_GC_S02"	0.364485981308411	0	0	1	0.28	0	0	0	0.544117647058823	0	0	0	0.333333333333333	0	0.283333333333333	0	0	0	0	0.560606060606061	0.308823529411765	0	0.387755102040816	0	0	0.385714285714286	0	0.23943661971831	0.301075268817204	0	0.263888888888889	0
"CAF_S01"	0	0	0	0.28	1	0	0	0.377777777777778	0	0	0	0	0.802197802197802	0	0	0.530864197530864	0.616279069767442	0	0	0.336633663366337	0	0.425	0	0.309278350515464	0	0	0	0	0	0.421686746987952	0.255102040816327	0
"CAF_S02"	0.409090909090909	0	0.416666666666667	0	0	1	0	0	0	0	0.472222222222222	0.467889908256881	0	0.405405405405405	0	0	0	0.291666666666667	0.384615384615385	0	0	0	0.407766990291262	0	0	0	0.275862068965517	0.227848101265823	0	0	0	0.561643835616438
"CAF_S03"	0	0.418367346938776	0	0	0	0	1	0	0	0.553571428571429	0	0.416666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0.672131147540984	0	0	0	0	0	0	0
"DC_Conventional_S01"	0	0.303921568627451	0	0	0.377777777777778	0	0	1	0	0	0	0	0.333333333333333	0	0	0.491525423728814	0.471428571428571	0	0	0	0	0.3	0	0.625	0	0	0	0	0	0.464285714285714	0	0
"DC_Conventional_S02"	0	0	0	0.544117647058823	0	0	0	0	1	0	0	0	0.342857142857143	0	0.433333333333333	0	0	0	0	0.577464788732394	0.306666666666667	0	0	0	0	0.308641975308642	0	0	0	0	0.36986301369863	0
"DC_Conventional_S03"	0	0.285714285714286	0	0	0	0	0.553571428571429	0	0	1	0	0.346153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0.435483870967742	0	0	0	0	0	0	0
