"State"	"InitialState"	"CellType"	"InitialID"	"ID"
"S01"	"IS01"	"B_cell"	"B_cell_IS01"	"B_cell_S01"
"S02"	"IS02"	"B_cell"	"B_cell_IS02"	"B_cell_S02"
"S01"	"IS02"	"B_GC"	"B_GC_IS02"	"B_GC_S01"
"S02"	"IS04"	"B_GC"	"B_GC_IS04"	"B_GC_S02"
"S01"	"IS01"	"CAF"	"CAF_IS01"	"CAF_S01"
"S02"	"IS02"	"CAF"	"CAF_IS02"	"CAF_S02"
"S03"	"IS03"	"CAF"	"CAF_IS03"	"CAF_S03"
"S01"	"IS02"	"DC_Conventional"	"DC_Conventional_IS02"	"DC_Conventional_S01"
"S02"	"IS03"	"DC_Conventional"	"DC_Conventional_IS03"	"DC_Conventional_S02"
"S03"	"IS01"	"DC_Conventional"	"DC_Conventional_IS01"	"DC_Conventional_S03"
"S04"	"IS04"	"DC_Conventional"	"DC_Conventional_IS04"	"DC_Conventional_S04"
"S01"	"IS01"	"DC_Plasmacytoid"	"DC_Plasmacytoid_IS01"	"DC_Plasmacytoid_S01"
"S02"	"IS02"	"DC_Plasmacytoid"	"DC_Plasmacytoid_IS02"	"DC_Plasmacytoid_S02"
"S01"	"IS02"	"HRS"	"HRS_IS02"	"HRS_S01"
"S02"	"IS01"	"HRS"	"HRS_IS01"	"HRS_S02"
"S03"	"IS03"	"HRS"	"HRS_IS03"	"HRS_S03"
"S01"	"IS01"	"Macrophage"	"Macrophage_IS01"	"Macrophage_S01"
"S02"	"IS04"	"Macrophage"	"Macrophage_IS04"	"Macrophage_S02"
"S01"	"IS03"	"NK_cell"	"NK_cell_IS03"	"NK_cell_S01"
"S02"	"IS04"	"NK_cell"	"NK_cell_IS04"	"NK_cell_S02"
"S01"	"IS03"	"Plasma"	"Plasma_IS03"	"Plasma_S01"
"S02"	"IS05"	"Plasma"	"Plasma_IS05"	"Plasma_S02"
"S01"	"IS01"	"T_CD4"	"T_CD4_IS01"	"T_CD4_S01"
"S02"	"IS02"	"T_CD4"	"T_CD4_IS02"	"T_CD4_S02"
"S03"	"IS03"	"T_CD4"	"T_CD4_IS03"	"T_CD4_S03"
"S01"	"IS01"	"T_CD8"	"T_CD8_IS01"	"T_CD8_S01"
"S02"	"IS03"	"T_CD8"	"T_CD8_IS03"	"T_CD8_S02"
"S01"	"IS02"	"T_gd"	"T_gd_IS02"	"T_gd_S01"
"S02"	"IS03"	"T_gd"	"T_gd_IS03"	"T_gd_S02"
"S01"	"IS03"	"T_Treg"	"T_Treg_IS03"	"T_Treg_S01"
"S02"	"IS01"	"T_Treg"	"T_Treg_IS01"	"T_Treg_S02"
"S03"	"IS04"	"T_Treg"	"T_Treg_IS04"	"T_Treg_S03"
